Active,Name,Categories,Retail price,Tax rule,Short description,Description,Tags,Meta title,Meta description,URL rewritten,Available for order,Show price
1,iPhone XR Diagnostic Service,iPhone XR Repair Services,0.0,9,"<strong><h4>CALL <a href=""tel:888-494-4349"">888-494-4349</a> for latest pricing</h4></strong><br/><ul><li>Excellent customer service</li><li>Expert technicians</li></ul>","<div style=""position: relative; padding-bottom: 56.25%; padding-top: 30px; height: 0; overflow: hidden;""><iframe style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; display: block; margin-left: auto; margin-right: auto;"" src=""https://www.youtube.com/embed/9z61L7QyDVo"" width=""853"" height=""480"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></div><p>&nbsp;</p><h2>iPhone XR Diagnostic Service</h2><p>&nbsp;</p><p>At iFixYouri, we understand. Your iPhone XR is really important to you. When it breaks, it can really mess up your day. If you are in need of Diagnostic Service, let the professional repair technicians at iFixYouri help you out.</p><p>&nbsp;</p><p><strong>*NOTE: If you decline repairs for diagnostic or water damage treatment or your device is deemed non-repairable, you will be responsible for shipping and handling.</strong></p> This is the service you need if you aren't quite sure what the problem with your iPhone XR is. We'll find out what is going on, and contact you with a repair quote.<p>&nbsp;</p><p>After checkout, you'll receive an email confirmation and shipping label. When your phone arrives at our repair center, we do diagnostic tests to determine if any other issues are at play. Outgoing testing ensures that your iPhone XR is fully functional. With the repairs complete, we send you a tracking number and ship your iPhone XR back to you!</p><p>&nbsp;</p>Free UPS ground shipping and $100 of insurance are included. You may purchase faster shipping options and additional insurance protection using the drop-down options above. That's up to you. Don't send us your cables, charges, or cases please. We have plenty here already :) Just package your iPhone XR in a secure box and affix the provided label.</p><p>&nbsp;</p><p>iFixYouri can be reached at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>. Get your iPhone XR working like new with the help of experienced technicians who do the job right the first time, and save yourself a lot of money and hassle.</p>",iPhone XR Diagnostic Service,iPhone XR Diagnostic Service,iPhone XR Diagnostic Service performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,iPhone-XR-Diagnostic-Service,1,1
1,iPhone XR Glass Repair,iPhone XR Repair Services,429.99,9,"<strong><h4>CALL <a href=""tel:888-494-4349"">888-494-4349</a> for latest pricing</h4></strong><br/><ul><li>90-day warranty</li><li>Excellent customer service</li><li>Expert technicians</li></ul>","<div style=""position: relative; padding-bottom: 56.25%; padding-top: 30px; height: 0; overflow: hidden;""><iframe style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; display: block; margin-left: auto; margin-right: auto;"" src=""https://www.youtube.com/embed/1vrnuazxPIo"" width=""853"" height=""480"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></div><p>&nbsp;</p><h2>iPhone XR Glass Repair</h2><p>&nbsp;</p><p>At iFixYouri, we understand. Your iPhone XR is really important to you. When it breaks, it can really mess up your day. If you are in need of Glass Repair, let the professional repair technicians at iFixYouri help you out.</p> Those who have both cracked glass and a broken LCD should opt for our iPhone XR Glass & LCD Repair. This service is for glass breakage only.<p>&nbsp;</p><p>With Glass Repair for iPhone XR, iFixYouri is here to help. With this service, our repair technicians inspect the problem, as well as any other affected components, repair your device, and send it back to you asap. If there are any other issues affecting your device, we'll let you know and proceed with those repairs only after your approval.</p><p>&nbsp;</p>Free UPS ground shipping and $100 of insurance are included. You may purchase faster shipping options and additional insurance protection using the drop-down options above. That's up to you. Don't send us your cables, charges, or cases please. We have plenty here already :) Just package your iPhone XR in a secure box and affix the provided label.</p><p>&nbsp;</p><p>A 90-day warranty that covers all but accidental damage is included. Contact customer service with any questions at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>.</p><p>&nbsp;</p><p>iFixYouri can be reached at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>. Get your iPhone XR working like new with the help of experienced technicians who do the job right the first time, and save yourself a lot of money and hassle.</p>",iPhone XR Glass Repair,iPhone XR Glass Repair,iPhone XR Glass Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,iPhone-XR-Glass-Repair,0,0
1,iPhone XR Glass & LCD Repair,iPhone XR Repair Services,469.99,9,"<strong><h4>CALL <a href=""tel:888-494-4349"">888-494-4349</a> for latest pricing</h4></strong><br/><ul><li>90-day warranty</li><li>Excellent customer service</li><li>Expert technicians</li></ul>","<div style=""position: relative; padding-bottom: 56.25%; padding-top: 30px; height: 0; overflow: hidden;""><iframe style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; display: block; margin-left: auto; margin-right: auto;"" src=""https://www.youtube.com/embed/tF_zuMX4ixI"" width=""853"" height=""480"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></div><p>&nbsp;</p><h2>iPhone XR Glass & LCD Repair</h2><p>&nbsp;</p><p>The iPhone XR has great build quality and design, but it isn't invincible. Since your device is of little use when broken, it's a good idea to bring it to iFixYouri for expert Glass & LCD Repair.</p><p>&nbsp;<p>Each device has its own lifespan - some devices use higher quality components than others and can last years if properly maintained. Drops, water or liquid, even a jolt can damage your device. </p> Those who have only cracked glass, NOT a broken LCD, should opt for our iPhone XR Glass Repair. This service is for both cracked glass and a broken LCD.<p>&nbsp;</p><p>After checkout, you'll receive an email confirmation and shipping label. When your phone arrives at our repair center, we do diagnostic tests to determine if any other issues are at play. Outgoing testing ensures that your iPhone XR is fully functional. With the repairs complete, we send you a tracking number and ship your iPhone XR back to you!</p><p>&nbsp;</p><p>Faster shipping options and extra insurance protection are available for purchase if you'd like. Simply choose from the drop-downs before adding to your shopping cart. When packaging your device, use a sturdy, secure box. You do not need to ship us your cases, cables, or accessories.</p><p>&nbsp;</p><p>All replacement parts come with a 90-day warranty that covers all but accidental damage.</p><p>&nbsp;</p><p>Questions about Glass & LCD Repair? Type them into the box below, and we'll get back to you as soon as possible. Alternatively, you can reach us at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p>",iPhone XR Glass & LCD Repair,iPhone XR Glass & LCD Repair,iPhone XR Glass & LCD Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,iPhone-XR-Glass-&-LCD-Repair,0,0
1,iPhone XR Battery Replacement,iPhone XR Repair Services,79.99,9,"<strong><h4>CALL <a href=""tel:888-494-4349"">888-494-4349</a> for latest pricing</h4></strong><br/><ul><li>90-day warranty</li><li>Excellent customer service</li><li>Expert technicians</li></ul>","<h2>iPhone XR Battery Replacement</h2><p>&nbsp;</p><p>We recommend not trying Battery Replacement yourself. Devices have become more and more sophisticated and you may cause more damage. Using the supplied shipping label, send your iPhone XR to iFixYouri's mail-in center so our skilled repair technicians can inspect your device, pinpoint all/any issues affecting it, and get them repaired the professional way.</p> Old or bad batteries can really be frustrating. You might need Battery Replacement if your battery does not hold charge well or charges very slowly or barely at all.<p>&nbsp;</p><p>After checkout, you'll receive an email confirmation and shipping label. When your phone arrives at our repair center, we do diagnostic tests to determine if any other issues are at play. Outgoing testing ensures that your iPhone XR is fully functional. With the repairs complete, we send you a tracking number and ship your iPhone XR back to you!</p><p>&nbsp;</p>Free UPS ground shipping and $100 of insurance are included. You may purchase faster shipping options and additional insurance protection using the drop-down options above. That's up to you. Don't send us your cables, charges, or cases please. We have plenty here already :) Just package your iPhone XR in a secure box and affix the provided label.</p><p>&nbsp;</p><p>Battery Replacement repair includes a 90-day warranty that covers all but accidental damage. If you notice something off about the fit, function, or performance of your replacement part or parts, let us know right away and we will be glad to help.</p><p>&nbsp;</p><p>Do you have any questions about Battery Replacement from iFixYouri? Just ask them in the box below, and we'll get back to you. Alternatively, you can always reach us via our support phone number <a href=""tel:888-494-4349"">888-494-4349</a> or email <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p>",iPhone XR Battery Replacement,iPhone XR Battery Replacement,iPhone XR Battery Replacement performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,iPhone-XR-Battery-Replacement,0,0
1,iPhone XR Charging Port Repair,iPhone XR Repair Services,69.99,9,"<strong><h4>CALL <a href=""tel:888-494-4349"">888-494-4349</a> for latest pricing</h4></strong><br/><ul><li>90-day warranty</li><li>Excellent customer service</li><li>Expert technicians</li></ul>","<h2>iPhone XR Charging Port Repair</h2><p>&nbsp;</p><p>We recommend not trying Charging Port Repair yourself. Devices have become more and more sophisticated and you may cause more damage. Using the supplied shipping label, send your iPhone XR to iFixYouri's mail-in center so our skilled repair technicians can inspect your device, pinpoint all/any issues affecting it, and get them repaired the professional way.</p> Charging port repair may be what you need if your device is charging slowly or not at all. Sometimes the battery needs replacement. Whatever the case, the professional technicians at iFixYouri can help.<p>&nbsp;</p><p>After checkout, you'll receive an email confirmation and shipping label. When your phone arrives at our repair center, we do diagnostic tests to determine if any other issues are at play. Outgoing testing ensures that your iPhone XR is fully functional. With the repairs complete, we send you a tracking number and ship your iPhone XR back to you!</p><p>&nbsp;</p>Free UPS ground shipping and $100 of insurance are included. You may purchase faster shipping options and additional insurance protection using the drop-down options above. That's up to you. Don't send us your cables, charges, or cases please. We have plenty here already :) Just package your iPhone XR in a secure box and affix the provided label.</p><p>&nbsp;</p><p>A 90-day warranty that covers all but accidental damage comes with every repair.</p><p>&nbsp;</p><p>Questions about Charging Port Repair? Type them into the box below, and we'll get back to you as soon as possible. Alternatively, you can reach us at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p>",iPhone XR Charging Port Repair,iPhone XR Charging Port Repair,iPhone XR Charging Port Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,iPhone-XR-Charging-Port-Repair,0,0
1,iPhone XR Front Camera Repair,iPhone XR Repair Services,69.99,9,"<strong><h4>CALL <a href=""tel:888-494-4349"">888-494-4349</a> for latest pricing</h4></strong><br/><ul><li>90-day warranty</li><li>Excellent customer service</li><li>Expert technicians</li></ul>","<h2>iPhone XR Front Camera Repair</h2><p>&nbsp;</p><p>We recommend not trying Front Camera Repair yourself. Devices have become more and more sophisticated and you may cause more damage. Using the supplied shipping label, send your iPhone XR to iFixYouri's mail-in center so our skilled repair technicians can inspect your device, pinpoint all/any issues affecting it, and get them repaired the professional way.</p><p>&nbsp;</p><p>iFixYouri is here to solve your problem with Front Camera Repair for iPhone XR. With this service, we'll determine the extent of the damage, get your device repaired, and send it back to you. We'll let you know if there are any other issues affecting your device and give you the option of proceeding with those repairs.</p><p>&nbsp;</p>Free UPS ground shipping and $100 of insurance are included. You may purchase faster shipping options and additional insurance protection using the drop-down options above. That's up to you. Don't send us your cables, charges, or cases please. We have plenty here already :) Just package your iPhone XR in a secure box and affix the provided label.</p><p>&nbsp;</p><p>All replacement parts come with a 90-day warranty that covers all but accidental damage.</p><p>&nbsp;</p><p>Do you have any questions about Front Camera Repair from iFixYouri? Just ask them in the box below, and we'll get back to you. Alternatively, you can always reach us via our support phone number <a href=""tel:888-494-4349"">888-494-4349</a> or email <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p>",iPhone XR Front Camera Repair,iPhone XR Front Camera Repair,iPhone XR Front Camera Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,iPhone-XR-Front-Camera-Repair,0,0
1,iPhone XR Headphone Jack Repair,iPhone XR Repair Services,69.99,9,"<strong><h4>CALL <a href=""tel:888-494-4349"">888-494-4349</a> for latest pricing</h4></strong><br/><ul><li>90-day warranty</li><li>Excellent customer service</li><li>Expert technicians</li></ul>","<h2>iPhone XR Headphone Jack Repair</h2><p>&nbsp;</p><p>At iFixYouri, we understand. Your iPhone XR is really important to you. When it breaks, it can really mess up your day. If you are in need of Headphone Jack Repair, let the professional repair technicians at iFixYouri help you out.</p><p>&nbsp;</p><p>iFixYouri is here to solve your problem with Headphone Jack Repair for iPhone XR. With this service, we'll determine the extent of the damage, get your device repaired, and send it back to you. We'll let you know if there are any other issues affecting your device and give you the option of proceeding with those repairs.</p><p>&nbsp;</p><p>Faster shipping options and extra insurance protection are available for purchase if you'd like. Simply choose from the drop-downs before adding to your shopping cart. When packaging your device, use a sturdy, secure box. You do not need to ship us your cases, cables, or accessories.</p><p>&nbsp;</p><p>All replacement parts come with a 90-day warranty that covers all but accidental damage.</p><p>&nbsp;</p><p>Questions about Headphone Jack Repair? Type them into the box below, and we'll get back to you as soon as possible. Alternatively, you can reach us at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p>",iPhone XR Headphone Jack Repair,iPhone XR Headphone Jack Repair,iPhone XR Headphone Jack Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,iPhone-XR-Headphone-Jack-Repair,0,0
1,iPhone XR Home Button Repair,iPhone XR Repair Services,69.99,9,"<strong><h4>CALL <a href=""tel:888-494-4349"">888-494-4349</a> for latest pricing</h4></strong><br/><ul><li>90-day warranty</li><li>Excellent customer service</li><li>Expert technicians</li></ul>","<h2>iPhone XR Home Button Repair</h2><p>&nbsp;</p><p>At iFixYouri, we understand. Your iPhone XR is really important to you. When it breaks, it can really mess up your day. If you are in need of Home Button Repair, let the professional repair technicians at iFixYouri help you out.</p><p>&nbsp;</p><p>iFixYouri is here to solve your problem with Home Button Repair for iPhone XR. With this service, we'll determine the extent of the damage, get your device repaired, and send it back to you. We'll let you know if there are any other issues affecting your device and give you the option of proceeding with those repairs.</p><p>&nbsp;</p><p>Faster shipping options and extra insurance protection are available for purchase if you'd like. Simply choose from the drop-downs before adding to your shopping cart. When packaging your device, use a sturdy, secure box. You do not need to ship us your cases, cables, or accessories.</p><p>&nbsp;</p><p>Home Button Repair repair includes a 90-day warranty that covers all but accidental damage. If you notice something off about the fit, function, or performance of your replacement part or parts, let us know right away and we will be glad to help.</p><p>&nbsp;</p><p>Questions about Home Button Repair? Type them into the box below, and we'll get back to you as soon as possible. Alternatively, you can reach us at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p>",iPhone XR Home Button Repair,iPhone XR Home Button Repair,iPhone XR Home Button Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,iPhone-XR-Home-Button-Repair,0,0
1,iPhone XR Loud Speaker Repair,iPhone XR Repair Services,69.99,9,"<strong><h4>CALL <a href=""tel:888-494-4349"">888-494-4349</a> for latest pricing</h4></strong><br/><ul><li>90-day warranty</li><li>Excellent customer service</li><li>Expert technicians</li></ul>","<h2>iPhone XR Loud Speaker Repair</h2><p>&nbsp;</p><p>We recommend not trying Loud Speaker Repair yourself. Devices have become more and more sophisticated and you may cause more damage. Using the supplied shipping label, send your iPhone XR to iFixYouri's mail-in center so our skilled repair technicians can inspect your device, pinpoint all/any issues affecting it, and get them repaired the professional way.</p><p>&nbsp;</p><p>Every repair service begins with a series of diagnostic tests to determine what the issue is. Our technicians use their repair experience to quickly diagnose the problem. In most cases, repairs are minimal; however, if we see that your iPhone XR has additional damage, we'll contact you before proceeding.</p><p>&nbsp;</p><p>Send your iPhone XR to iFixYouri via the UPS shipping method of your choosing. Please ship your device in a sturdy, secure box. If you hear it rattling around in the box, add some more padding. Please do not include cases, cables, or accessories. Standard UPS Ground is covered by us, as well as $100 insurance. Faster shipping and extra insurance coverage can be purchased using the drop-down boxes above.</p><p>&nbsp;</p><p>All replacement parts come with a 90-day warranty that covers all but accidental damage.</p><p>&nbsp;</p><p>If you have specific questions about Loud Speaker Repair or any iPhone XR service from iFixYouri, please ask them in the box below. Contact customer service with any questions at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>.</p>",iPhone XR Loud Speaker Repair,iPhone XR Loud Speaker Repair,iPhone XR Loud Speaker Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,iPhone-XR-Loud-Speaker-Repair,0,0
1,iPhone XR Microphone Repair,iPhone XR Repair Services,69.99,9,"<strong><h4>CALL <a href=""tel:888-494-4349"">888-494-4349</a> for latest pricing</h4></strong><br/><ul><li>90-day warranty</li><li>Excellent customer service</li><li>Expert technicians</li></ul>","<h2>iPhone XR Microphone Repair</h2><p>&nbsp;</p><p>The iPhone XR has great build quality and design, but it isn't invincible. Since your device is of little use when broken, it's a good idea to bring it to iFixYouri for expert Microphone Repair.</p><p>&nbsp;<p>Each device has its own lifespan - some devices use higher quality components than others and can last years if properly maintained. Drops, water or liquid, even a jolt can damage your device. </p><p>&nbsp;</p><p>iFixYouri is here to solve your problem with Microphone Repair for iPhone XR. With this service, we'll determine the extent of the damage, get your device repaired, and send it back to you. We'll let you know if there are any other issues affecting your device and give you the option of proceeding with those repairs.</p><p>&nbsp;</p><p>Send your iPhone XR to iFixYouri via the UPS shipping method of your choosing. Please ship your device in a sturdy, secure box. If you hear it rattling around in the box, add some more padding. Please do not include cases, cables, or accessories. Standard UPS Ground is covered by us, as well as $100 insurance. Faster shipping and extra insurance coverage can be purchased using the drop-down boxes above.</p><p>&nbsp;</p><p>A 90-day warranty that covers all but accidental damage comes with every repair.</p><p>&nbsp;</p><p>iFixYouri can be reached at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>. Get your iPhone XR working like new with the help of experienced technicians who do the job right the first time, and save yourself a lot of money and hassle.</p>",iPhone XR Microphone Repair,iPhone XR Microphone Repair,iPhone XR Microphone Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,iPhone-XR-Microphone-Repair,0,0
