Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
microsoft-surface-pro-2-diagnostic-service,Microsoft Surface Pro 2 Diagnostic Service,"<div style=""position: relative; padding-bottom: 56.25%; padding-top: 30px; height: 0; overflow: hidden;""><iframe style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; display: block; margin-left: auto; margin-right: auto;"" src=""https://www.youtube.com/embed/9z61L7QyDVo"" width=""853"" height=""480"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></div><p>&nbsp;</p><h2>Microsoft Surface Pro 2 Diagnostic Service</h2><p>&nbsp;</p><p>At iFixYouri, we understand. Your Microsoft Surface Pro 2 is really important to you. When it breaks, it can really mess up your day. If you are in need of Diagnostic Service, let the professional repair technicians at iFixYouri help you out.</p><p>&nbsp;</p><p><strong>*NOTE: If you decline repairs for diagnostic or water damage treatment or your device is deemed non-repairable, you will be responsible for shipping and handling.</strong></p> This is the service you need if you aren't quite sure what the problem with your Microsoft Surface Pro 2 is. We'll find out what is going on, and contact you with a repair quote.<p>&nbsp;</p><p>iFixYouri is here to resolve the problem for your Microsoft Surface Pro 2 with Diagnostic Service. In this service, we will assess the extent of the damage, repair your device, and return it to you. You will be informed if there are other problems with your device and you can choose whether to proceed with those repairs.</p><h3>How to Ship Your Microsoft Surface Pro 2</h3><p>We email you a printable shipping label, and include $100 of insurance protection. If you would like faster shipping or more insurance coverage, you have the option to upgrade during checkout. </p><h3>Customer Service</h3><p>If you have a question about Diagnostic Service, please enter it below, and we'll get back to you shortly. Otherwise, you can reach us at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p><p>NOTE: The computer shown above may not match your exact model. Your replacement part will match your specific device.</p>",iFixYouri,,Microsoft Surface Pro 2 Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,0.0,,TRUE,TRUE,,,,,,Microsoft Surface Pro 2 Diagnostic Service,Microsoft Surface Pro 2 Diagnostic Service performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
microsoft-surface-pro-2-glass-repair,Microsoft Surface Pro 2 Glass Repair,"<div style=""position: relative; padding-bottom: 56.25%; padding-top: 30px; height: 0; overflow: hidden;""><iframe style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; display: block; margin-left: auto; margin-right: auto;"" src=""https://www.youtube.com/embed/1vrnuazxPIo"" width=""853"" height=""480"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></div><p>&nbsp;</p><h2>Microsoft Surface Pro 2 Glass Repair</h2><p>&nbsp;</p><p>iFixYouri understands how important your Microsoft Surface Pro 2 is to you, and how unfortunate it is to find it broken. If you need Glass Repair from a team of reliable and professional technicians, look no further than iFixYouri.</p> Those who have both cracked glass and a broken LCD should opt for our Microsoft Surface Pro 2 Glass & LCD Repair. This service is for glass breakage only.<p>&nbsp;</p><p>Every repair service begins with a series of diagnostic tests to determine what the issue is. Our technicians use their repair experience to quickly diagnose the problem. In most cases, repairs are minimal; however, if we see that your Microsoft Surface Pro 2 has additional damage, we'll contact you before proceeding.</p><h3>How to Ship Your Microsoft Surface Pro 2</h3><p>We email you a printable shipping label, and include $100 of insurance protection. If you would like faster shipping or more insurance coverage, you have the option to upgrade during checkout. </p><h3>Microsoft Surface Pro 2 Warranty</h3><p>Every repair comes with a 90-day covering all but accidental damage.</p><h3>Questions? Just Ask.</h3><p>Have any questions about Glass Repair from iFixYouri? Just ask them in the box below, and we'll get back to you asap. On the other hand, you can always reach us via our support phone number <a href=""tel:888-494-4349"">888-494-4349</a> or email <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p><p>NOTE: You will be receiving your replacement part or parts based on your exact model. The computer pictured above may not correspond to your exact model.</p>",iFixYouri,,Microsoft Surface Pro 2 Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,349.99,,TRUE,TRUE,,,,,,Microsoft Surface Pro 2 Glass Repair,Microsoft Surface Pro 2 Glass Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
microsoft-surface-pro-2-glass-&-lcd-repair,Microsoft Surface Pro 2 Glass & LCD Repair,"<div style=""position: relative; padding-bottom: 56.25%; padding-top: 30px; height: 0; overflow: hidden;""><iframe style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; display: block; margin-left: auto; margin-right: auto;"" src=""https://www.youtube.com/embed/tF_zuMX4ixI"" width=""853"" height=""480"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></div><p>&nbsp;</p><h2>Microsoft Surface Pro 2 Glass & LCD Repair</h2><p>&nbsp;</p><p>The Microsoft Surface Pro 2 has great build quality and design, but it isn't invincible. Since your device is of little use when broken, it's a good idea to bring it to iFixYouri for expert Glass & LCD Repair.</p><p>&nbsp;<p>Each device has its own lifespan - some devices use higher quality components than others and can last years if properly maintained. Drops, water or liquid, even a jolt can damage your device. </p> Those who have only cracked glass, NOT a broken LCD, should opt for our Microsoft Surface Pro 2 Glass Repair. This service is for both cracked glass and a broken LCD.<p>&nbsp;</p><p>Every repair service begins with a series of diagnostic tests to determine what the issue is. Our technicians use their repair experience to quickly diagnose the problem. In most cases, repairs are minimal; however, if we see that your Microsoft Surface Pro 2 has additional damage, we'll contact you before proceeding.</p><h3>How do I ship my Microsoft Surface Pro 2?</h3><p>The shipping cost calculator below can be used to price your shipping cost. Faster shipping options and extra insurance protection are available for purchase if you'd like. When packaging your device, use a sturdy, secure box. You do not need to ship us your cases, cables, or accessories.</p><h3>Warranty: Microsoft Surface Pro 2</h3><p>A 90-day warranty is included that covers all but accidental damage. You may contact customer service for further information at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>.</p><h3>Questions? Just Ask.</h3><p>Have any questions about Glass & LCD Repair from iFixYouri? Just ask them in the box below, and we'll get back to you asap. On the other hand, you can always reach us via our support phone number <a href=""tel:888-494-4349"">888-494-4349</a> or email <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p><p>NOTE: You will be receiving your replacement part or parts based on your exact model. The computer pictured above may not correspond to your exact model.</p>",iFixYouri,,Microsoft Surface Pro 2 Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,429.99,,TRUE,TRUE,,,,,,Microsoft Surface Pro 2 Glass & LCD Repair,Microsoft Surface Pro 2 Glass & LCD Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
microsoft-surface-pro-2-battery-replacement,Microsoft Surface Pro 2 Battery Replacement,"<h2>Microsoft Surface Pro 2 Battery Replacement</h2><p>&nbsp;</p><p>iFixYouri understands how important your Microsoft Surface Pro 2 is to you, and how unfortunate it is to find it broken. If you need Battery Replacement from a team of reliable and professional technicians, look no further than iFixYouri.</p> Old or bad batteries can really be frustrating. You might need Battery Replacement if your battery does not hold charge well or charges very slowly or barely at all.<p>&nbsp;</p><p>With Battery Replacement for Microsoft Surface Pro 2, iFixYouri is here to help. With this service, our repair technicians inspect the problem, as well as any other affected components, repair your device, and send it back to you asap. If there are any other issues affecting your device, we'll let you know and proceed with those repairs only after your approval.</p><h3>Shipping Your Microsoft Surface Pro 2</h3><p>To estimate shipping, use the calculator below. We advise you to ship your device in a sturdy and secure box. If it sounds like it is rattling, add some additional padding. You should not include any cases, cables, or accessories. Standard shipping and $100 insurance are included; faster shipping and extra insurance can be purchased at checkout.</p><h3>Warranty Details</h3><p>All replacement parts come with a 90-day warranty that covers all but accidental damage.</p><h3>Contact/Support</h3><p>Call iFixYouri @ <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>. You can also ask questions using the chatbot or question form below.</p>",iFixYouri,,Microsoft Surface Pro 2 Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,99.99,,TRUE,TRUE,,,,,,Microsoft Surface Pro 2 Battery Replacement,Microsoft Surface Pro 2 Battery Replacement performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
microsoft-surface-pro-2-charging-port-repair,Microsoft Surface Pro 2 Charging Port Repair,"<h2>Microsoft Surface Pro 2 Charging Port Repair</h2><p>&nbsp;</p><p>Even though the Microsoft Surface Pro 2 has great quality, it is not indestructible. Since broken devices are of little use, you should bring your Microsoft Surface Pro 2 to iFixYouri for expert Charging Port Repair.</p><p>&nbsp;<p>The longevity of your device depends on the quality of its parts. When properly maintained, some devices last longer than others, while others can be damaged if dropped or submerged in liquid.</p> Charging port repair may be what you need if your device is charging slowly or not at all. Sometimes the battery needs replacement. Whatever the case, the professional technicians at iFixYouri can help.<p>&nbsp;</p><p>After checkout, you'll receive an email confirmation and shipping label. When your phone arrives at our repair center, we do diagnostic tests to determine if any other issues are at play. Outgoing testing ensures that your Microsoft Surface Pro 2 is fully functional. With the repairs complete, we send you a tracking number and ship your Microsoft Surface Pro 2 back to you!</p><h3>Shipping Your Microsoft Surface Pro 2</h3><p>Use the calculator below to estimate shipping. Please ship your device in a sturdy, secure box. If you hear it rattling around in the box, add some more padding. Please do not include cases, cables, or accessories. Standard shipping is covered by us, as well as $100 insurance. Faster shipping and extra insurance coverage can be purchased during checkout.</p><h3>Warranty: Microsoft Surface Pro 2</h3><p>A 90-day warranty is included that covers all but accidental damage. You may contact customer service for further information at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>.</p><h3>Questions?</h3><p>In the box below, please post your questions about Charging Port Repair or any Microsoft Surface Pro 2 services from iFixYouri. Contact customer service at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>.</p><p>NOTE: This computer may not necessarily match the exact model you own. Your replacement part or parts will match your device.</p>",iFixYouri,,Microsoft Surface Pro 2 Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,79.99,,TRUE,TRUE,,,,,,Microsoft Surface Pro 2 Charging Port Repair,Microsoft Surface Pro 2 Charging Port Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
microsoft-surface-pro-2-front-camera-repair,Microsoft Surface Pro 2 Front Camera Repair,"<h2>Microsoft Surface Pro 2 Front Camera Repair</h2><p>&nbsp;</p><p>We recommend not trying Front Camera Repair yourself. Devices have become more and more sophisticated and you may cause more damage. Using the supplied shipping label, send your Microsoft Surface Pro 2 to iFixYouri's mail-in center so our skilled repair technicians can inspect your device, pinpoint all/any issues affecting it, and get them repaired the professional way.</p><p>&nbsp;</p><p>A shipping label and email confirmation will be sent to you after checkout. We run diagnostic tests on your phone when it arrives at our repair center to determine if there are any other problems. The Microsoft Surface Pro 2 is thoroughly tested before we ship it back to you. Once the repairs are complete, we provide you with a tracking number to track the shipment back to you!</p><h3>Shipping Your Microsoft Surface Pro 2</h3><p>You may purchase faster shipping options and additional insurance protection during checkout. That's up to you. Don't send us your cables, charges, or cases, please. We have plenty here already :) Just package your Microsoft Surface Pro 2 Chromebook in a secure box and affix the provided label.</p><h3>Microsoft Surface Pro 2 Warranty</h3><p>Every repair comes with a 90-day covering all but accidental damage.</p><h3>We're Here to Help!</h3><p>iFixYouri can be reached at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>. Questions may be asked using the chatbot or question form below.</p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,Microsoft Surface Pro 2 Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,99.99,,TRUE,TRUE,,,,,,Microsoft Surface Pro 2 Front Camera Repair,Microsoft Surface Pro 2 Front Camera Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
microsoft-surface-pro-2-loud-speaker-repair,Microsoft Surface Pro 2 Loud Speaker Repair,"<h2>Microsoft Surface Pro 2 Loud Speaker Repair</h2><p>&nbsp;</p><p>iFixYouri understands how important your Microsoft Surface Pro 2 is to you, and how unfortunate it is to find it broken. If you need Loud Speaker Repair from a team of reliable and professional technicians, look no further than iFixYouri.</p><p>&nbsp;</p><p>iFixYouri is here to resolve the problem for your Microsoft Surface Pro 2 with Loud Speaker Repair. In this service, we will assess the extent of the damage, repair your device, and return it to you. You will be informed if there are other problems with your device and you can choose whether to proceed with those repairs.</p><h3>Shipping Your Microsoft Surface Pro 2</h3><p>You may purchase faster shipping options and additional insurance protection during checkout. That's up to you. Don't send us your cables, charges, or cases, please. We have plenty here already :) Just package your Microsoft Surface Pro 2 Chromebook in a secure box and affix the provided label.</p><h3>Microsoft Surface Pro 2 Warranty</h3><p>A 90-day that covers all but accidental damage comes with every repair.</p><h3>We're Here to Help!</h3><p>iFixYouri can be reached at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>. Questions may be asked using the chatbot or question form below.</p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,Microsoft Surface Pro 2 Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,79.99,,TRUE,TRUE,,,,,,Microsoft Surface Pro 2 Loud Speaker Repair,Microsoft Surface Pro 2 Loud Speaker Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
microsoft-surface-pro-2-microphone-repair,Microsoft Surface Pro 2 Microphone Repair,"<h2>Microsoft Surface Pro 2 Microphone Repair</h2><p>&nbsp;</p><p>At iFixYouri, we understand. Your Microsoft Surface Pro 2 is really important to you. When it breaks, it can really mess up your day. If you are in need of Microphone Repair, let the professional repair technicians at iFixYouri help you out.</p><p>&nbsp;</p><p>iFixYouri is here to help you with Microphone Repair for your Microsoft Surface Pro 2. This service includes a full inspection of your device and any other damaged components, repairs by our expert technicians, and secure shipping to you as soon as it is ready. We will let you know about any additional issues affecting your device and repair them only after you approve.</p><h3>Shipping Your Microsoft Surface Pro 2</h3><p>Additional shipping protection and faster shipping options are available during checkout. That’s all up to you. You don't need to send us its charging cables, cases, or other accessories. We have plenty here already! The Microsoft Surface Pro 2 should be packaged in a secure box and the label should be affixed.</p><h3>Warranty Details</h3><p>All replacement parts come with a 90-day warranty that covers all but accidental damage.</p><h3>Contact/Support</h3><p>Call iFixYouri @ <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>. If you have any questions, you can write them down in the chatbot below.</p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,Microsoft Surface Pro 2 Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,89.99,,TRUE,TRUE,,,,,,Microsoft Surface Pro 2 Microphone Repair,Microsoft Surface Pro 2 Microphone Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
microsoft-surface-pro-2-power-button-repair,Microsoft Surface Pro 2 Power Button Repair,"<h2>Microsoft Surface Pro 2 Power Button Repair</h2><p>&nbsp;</p><p>iFixYouri understands how important your Microsoft Surface Pro 2 is to you, and how unfortunate it is to find it broken. If you need Power Button Repair from a team of reliable and professional technicians, look no further than iFixYouri.</p><p>&nbsp;</p><p>iFixYouri is here to solve your problem with Power Button Repair for Microsoft Surface Pro 2. With this service, we'll determine the extent of the damage, get your device repaired, and send it back to you. We'll let you know if there are any other issues affecting your device and give you the option of proceeding with those repairs.</p><h3>Shipping Your Microsoft Surface Pro 2</h3><p>You may purchase faster shipping options and additional insurance protection during checkout. That's up to you. Don't send us your cables, charges, or cases, please. We have plenty here already :) Just package your Microsoft Surface Pro 2 Chromebook in a secure box and affix the provided label.</p><h3>Microsoft Surface Pro 2 Warranty</h3><p>A 90-day that covers all but accidental damage comes with every repair.</p><h3>Questions? Just Ask.</h3><p>Have any questions about Power Button Repair from iFixYouri? Just ask them in the box below, and we'll get back to you asap. On the other hand, you can always reach us via our support phone number <a href=""tel:888-494-4349"">888-494-4349</a> or email <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p><p>NOTE: You will be receiving your replacement part or parts based on your exact model. The computer pictured above may not correspond to your exact model.</p>",iFixYouri,,Microsoft Surface Pro 2 Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,99.99,,TRUE,TRUE,,,,,,Microsoft Surface Pro 2 Power Button Repair,Microsoft Surface Pro 2 Power Button Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
microsoft-surface-pro-2-rear-camera-repair,Microsoft Surface Pro 2 Rear Camera Repair,"<h2>Microsoft Surface Pro 2 Rear Camera Repair</h2><p>&nbsp;</p><p>It is recommended that you don’t try Rear Camera Repair for yourself. It's more complicated now to fix devices, so you may end up causing more damage. With the shipping label provided, mail your Microsoft Surface Pro 2 to iFixYouri's mail-in center for our skilled repair technicians to look over the device and diagnose any problems with it, so that it can be repaired professionally.</p><p>&nbsp;</p><p>iFixYouri is here to resolve the problem for your Microsoft Surface Pro 2 with Rear Camera Repair. In this service, we will assess the extent of the damage, repair your device, and return it to you. You will be informed if there are other problems with your device and you can choose whether to proceed with those repairs.</p><h3>Shipping Your Microsoft Surface Pro 2</h3><p>You may purchase faster shipping options and additional insurance protection during checkout. That's up to you. Don't send us your cables, charges, or cases, please. We have plenty here already :) Just package your Microsoft Surface Pro 2 Chromebook in a secure box and affix the provided label.</p><h3>Microsoft Surface Pro 2 Warranty</h3><p>Every repair comes with a 90-day covering all but accidental damage.</p><h3>Questions?</h3><p>In the box below, please post your questions about Rear Camera Repair or any Microsoft Surface Pro 2 services from iFixYouri. Contact customer service at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>.</p><p>NOTE: This computer may not necessarily match the exact model you own. Your replacement part or parts will match your device.</p>",iFixYouri,,Microsoft Surface Pro 2 Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,129.99,,TRUE,TRUE,,,,,,Microsoft Surface Pro 2 Rear Camera Repair,Microsoft Surface Pro 2 Rear Camera Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
