DEVICE,ITSWORTHMORE,,,,
iPhone SE (2nd Gen.),315,350,35,,
iPhone 11 Pro Max,820,,,,
iPhone 11 Pro,740,,,,
iPhone 11,530,,,,
iPhone XR,415,,,,
iPhone XS Max,595,,,,
iPhone XS,510,540,30,,
iPhone X,390,,,,
iPhone 8 Plus,315,,,,
iPhone 8,310,,,,
iPhone 7 Plus,260,306.25,46.25,,
iPhone 7,160,,,,
iPhone SE,80,,,,
iPhone 6S Plus,155,,,,
iPhone 6S,105,,,,
iPhone 6 Plus,125,,,,
iPhone 6,70,85,15,,
Galaxy S10 Lite,250,430,180,,
Galaxy S20 Ultra 5G,675,,,,
Galaxy S20 Plus 5G,620,650,30,,
Galaxy S20 5G,475,,,,
Galaxy S10 5G,420,,,,
Galaxy S10e,290,,,,
Galaxy S10 Plus,505,,,,
Galaxy S10,365,400,35,,
Galaxy S8 Active,130,,,,
Galaxy S9,235,295,60,,
Galaxy S9 Plus,245,235,-10,,
Galaxy S8 Plus,133,,,,
Galaxy S8,130,,,,
Galaxy S7 Edge,105,,,,
Galaxy S7,70,,,,
Galaxy S6 Edge Plus,85,,,,
Galaxy S6 Edge,67,,,,
Galaxy S6,82,,,,
Galaxy S5 Active,50,,,,
Galaxy S5,40,,,,
Galaxy S4 Active,45,,,,
Galaxy S4,25,,,,
Galaxy Note 20 Ultra 5G,760,,,,
Galaxy Note 20 5G,575,,,,
Galaxy Note 10 Plus 5G,525,575,50,,
Galaxy Note 10 Plus,505,,,,
Galaxy Note 10,425,,,,
Galaxy Note 9,295,,,,
Galaxy Note 8,180,,,,
Galaxy Note 5,90,,,,
Galaxy Note Edge,65,,,,
Galaxy Note 4,70,,,,
Galaxy Note 3,55,,,,
iPad Pro 12.9 inch (4th Gen.),990,1010,,670,320
iPad Pro 12.9 inch (3rd Gen.),830,,,,
iPad Pro 12.9 inch (2nd Gen.),475,470,,310,165
iPad Pro 12.9 inch (1st Gen.),355,415,,210,145
iPad Pro 11 inch (2nd Gen.),830,,,,
iPad Pro 11 inch (1st Gen.),695,,,,
iPad Pro (10.5 inch),365,,,,
iPad Pro (9.7 inch),250,,,,
iPad Air (3rd Gen.),335,,,,
iPad Air (2nd Gen.),150,135,,60,90
iPad Air (1st Gen.),118,,,,
iPad Mini (5th Gen.),330,,,,
iPad Mini (4th Gen.),180,185,,90,90
iPad Mini (3rd Gen.),132,112,,80,52
iPad Mini (2nd Gen.),105,95,,50,55
iPad Mini (1st Gen.),42,,,,
iPad (8th Gen.),285,,,,
iPad (7th Gen.),245,235,,125,120
iPad (6th Gen.),165,160,,90,75
iPad (5th Gen.),150,140,,85,65
iPad (4th Gen.),85,,,,
iPad (3rd Gen.),68,,,,
iPad (2nd Gen.),48,,,,
