DEVICE,ITSWORTHMORE,,
iPhone 12 mini,$575.00,,
iPhone 12 Pro,$950.00,,
iPhone 12,$650.00,,
iPhone SE (2nd Gen.),$250.00,,
iPhone 11 Pro Max,$715.00,,
iPhone 11 Pro,$655.00,,
iPhone 11,$430.00,,275
iPhone XR,$375.00,390,
iPhone XS Max,$505.00,,
iPhone XS,$480.00,,
iPhone X,$360.00,,
iPhone 8 Plus,$305.00,,
iPhone 8,$315.00,,125
iPhone 7 Plus,$235.00,,
iPhone 7,$150.00,,
iPhone SE,$80.00,,
iPhone 6S Plus,$155.00,,
iPhone 6S,$105.00,,
iPhone 6 Plus,$125.00,,
iPhone 6,$70.00,,
Galaxy S20 FE 5G,$350.00,,
Galaxy S10 Lite,$265.00,,
Galaxy S20 Ultra 5G,$675.00,760,
Galaxy S20 Plus 5G,$590.00,620,
Galaxy S20 5G,$475.00,,
Galaxy S10 5G,$420.00,,
Galaxy S10e,$310.00,,
Galaxy S10 Plus,$525.00,,
Galaxy S10,$365.00,,
Galaxy S8 Active,$130.00,,
Galaxy S9,$235.00,,
Galaxy S9 Plus,$245.00,,
Galaxy S8 Plus,$133.00,,
Galaxy S8,$155.00,,
Galaxy S7 Edge,$105.00,,
Galaxy S7,$70.00,,
Galaxy S6 Edge Plus,$85.00,,
Galaxy S6 Edge,$62.00,,
Galaxy S6,$82.00,,
Galaxy S5 Active,$50.00,,
Galaxy S5,$40.00,,
Galaxy S4 Active,$45.00,,
Galaxy S4,$25.00,,
Galaxy Note 20 Ultra 5G,$760.00,,
Galaxy Note 20 5G,$575.00,,
Galaxy Note 10 Plus 5G,$500.00,,
Galaxy Note 10 Plus,$475.00,,
Galaxy Note 10,$425.00,,
Galaxy Note 9,$295.00,,
Galaxy Note 8,$225.00,,
Galaxy Note 5,$90.00,,
Galaxy Note Edge,$65.00,,
Galaxy Note 4,$70.00,,
Galaxy Note 3,$55.00,,
iPad Pro 12.9 inch (4th Gen.),$960.00,,
iPad Pro 12.9 inch (3rd Gen.),$830.00,,
iPad Pro 12.9 inch (2nd Gen.),$495.00,,
iPad Pro 12.9 inch (1st Gen.),$360.00,,
iPad Pro 11 inch (2nd Gen.),$830.00,,
iPad Pro 11 inch (1st Gen.),$695.00,,
iPad Pro (10.5 inch),$410.00,,
iPad Pro (9.7 inch),$250.00,256.5,
iPad Air (3rd Gen.),$335.00,,
iPad Air (2nd Gen.),$160.00,,
iPad Air (1st Gen.),$118.00,,
iPad Mini (5th Gen.),$340.00,,
iPad Mini (4th Gen.),$180.00,185,
iPad Mini (3rd Gen.),$132.00,,
iPad Mini (2nd Gen.),$105.00,,
iPad Mini (1st Gen.),$42.00,,
iPad (8th Gen.),$295.00,,
iPad (7th Gen.),$250.00,,
iPad (6th Gen.),$177.00,,
iPad (5th Gen.),$165.00,,
iPad (4th Gen.),$85.00,,
iPad (3rd Gen.),$68.00,,
iPad (2nd Gen.),$48.00,,
