DEVICE,ITSWORTHMORE
iPhone 12 Pro,$950
iPhone 12,$650
iPhone SE (2nd Gen.),$250
iPhone 11 Pro Max,$715
iPhone 11 Pro,$655
iPhone 11,$430
iPhone XR,$375
iPhone XS Max,$505
iPhone XS,$480
iPhone X,$360
iPhone 8 Plus,$305
iPhone 8,$315
iPhone 7 Plus,$235
iPhone 7,$150
iPhone SE,$80
iPhone 6S Plus,$155
iPhone 6S,$105
iPhone 6 Plus,$125
iPhone 6,$70
Galaxy S20 FE 5G,$350
Galaxy S10 Lite,$265
Galaxy S20 Ultra 5G,$695
Galaxy S20 Plus 5G,>$610
Galaxy S20 5G,$475
Galaxy S10 5G,$420
Galaxy S10e,$310
Galaxy S10 Plus,$525
Galaxy S10,$365
Galaxy S8 Active,$130
Galaxy S9,$235
Galaxy S9 Plus,$245
Galaxy S8 Plus,$133
Galaxy S8,$155
Galaxy S7 Edge,$105
Galaxy S7,$70
Galaxy S6 Edge Plus,$85
Galaxy S6 Edge,$62
Galaxy S6,$82
Galaxy S5 Active,$50
Galaxy S5,$40
Galaxy S4 Active,$45
Galaxy Note 20 Ultra 5G,$760
Galaxy Note 20 5G,$575
Galaxy Note 10 Plus 5G,$500
Galaxy Note 10 Plus,$515
Galaxy Note 10,$425
Galaxy Note 9,$295
Galaxy Note 8,$225
Galaxy Note 5,$90
Galaxy Note Edge,$65
Galaxy Note 4,$70
Galaxy Note 3,$55
iPad Pro 12.9 inch (4th Gen.),$960
iPad Pro 12.9 inch (3rd Gen.),$830
iPad Pro 12.9 inch (2nd Gen.),$495
iPad Pro 12.9 inch (1st Gen.),$360
iPad Pro 11 inch (2nd Gen.),$830
iPad Pro 11 inch (1st Gen.),$695
iPad Pro (10.5 inch),$410
iPad Pro (9.7 inch),>$250
iPad Air (3rd Gen.),$335
iPad Air (2nd Gen.),$160
iPad Air (1st Gen.),$118
iPad Mini (5th Gen.),$340
iPad Mini (4th Gen.),$180
iPad Mini (3rd Gen.),$132
iPad Mini (2nd Gen.),$105
iPad Mini (1st Gen.),$42
iPad (8th Gen.),$295
iPad (7th Gen.),$250
iPad (6th Gen.),$177
iPad (5th Gen.),$165
iPad (4th Gen.),$85
iPad (3rd Gen.),$68
iPad (2nd Gen.),$48
