LOCATION, YELP RATING, YELP REVIEWS, GOOGLE RATING, GOOGLE REVIEWS, 
Altamonte Springs, 5.0, 28, 4.6, 269, 
East Orlando, 3.0, 16, 4.5, 153, 
Downtown Orlando, 4.0, 65, 4.5, 142, 
Longwood, 5.0, 12, 4.7, 157, 
Millenia, 4.0, 17, 4.7, 106, 
Oviedo, 5.0, 1, 4.7,  17, 
Winter Park, 4.5, 20, 4.8, 128, 
Donald Ross, 2.5, 7, 4.6,  37, 
Indiantown, 4.5, 6, 4.4,  12, 
Northlake, 3.5, 12, 3.9,  53, 
PGA, 4.0, 14, 4.5, 147, 
West Palm, 3.0, 40, 4.3, 145, 
Brookline, 4.0, 30, 4.2,  54, 
Newbury, 4.0, 143, 4.5, 123, 
