LOCATION,YELP RATING,YELP REVIEWS,GOOGLE RATING,GOOGLE REVIEWS,FB RATING,FB REVIEWS
Altamonte Springs,4.5,23,4.5,315,3.6,31
East Orlando,3.5,25,4.4,165,3.3,28
Downtown Orlando,3.5,57,4.5,169,3.1,11
Longwood,5.0,16,4.6,191,3.2,13
Millenia,4.0,14,4.6,122,5,15
Oviedo,5.0,3,4.8,47,1.0,1
Winter Park,4.5,20,4.8,141,3.8,12
Donald Ross,2.5,8,4.6,41,2.3,4
Indiantown,2.5,7,4.5,23,0,0
Northlake,3.0,11,4.2,102,0,0
PGA,3.5,42,4.5,187,3.7,87
West Palm,2.5,49,4.2,170,4.5,113
Brookline,4.0,35,4.2,60,0,0
