LOCATION,YELP RATING,YELP REVIEWS,GOOGLE RATING,GOOGLE REVIEWS,FB RATING,FB REVIEWS
Altamonte Springs,4.5,26,4.6,301,3.6,31
East Orlando,3.0,20,4.4,162,3.3,26
Downtown Orlando,3.5,59,4.5,165,3.1,11
Longwood,4.5,15,4.6,184,3.2,13
Millenia,4.0,13,4.6,122,5,15
Oviedo,5.0,1,4.8,40,1.0,1
Winter Park,4.5,20,4.8,138,3.8,12
Donald Ross,2.5,8,4.6,40,3.0,3
Indiantown,3.0,6,4.5,23,0,0
Northlake,3.5,12,4.2,84,0,0
PGA,3.5,41,4.5,181,3.7,88
West Palm,2.5,48,4.2,156,4.5,114
Brookline,4.0,33,4.2,59,0,0
Newbury,4.0,147,4.4,135,3.8,15
