LOCATION,YELP RATING,YELP REVIEWS,GOOGLE RATING,GOOGLE REVIEWS,FB RATING,FB REVIEWS
Altamonte Springs,4.5,26,4.5,307,3.6,31
East Orlando,3,20,4.4,164,3.3,26
Downtown Orlando,3.5,60,4.4,168,3.1,11
Longwood,5,16,4.6,188,3.2,13
Millenia,4,14,4.6,122,5,15
Oviedo,5,,4.8,45,1,1
Winter Park,4.5,20,4.8,140,3.8,12
Donald Ross,2.5,8,4.6,41,2.3,4
Indiantown,2.5,7,4.5,23,0,0
Northlake,3,11,4.2,94,0,0
PGA,3.5,42,4.5,185,3.6,86
West Palm,2.5,49,4.2,159,4.5,114
Brookline,4,34,4.2,59,0,0
Newbury,4,150,4.4,136,3.8,15
