Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
asus-10-c100pa-chromebook-screen-repair,Asus 10 C100PA Chromebook Screen Repair,"<h2>Asus 10 C100PA Chromebook Screen Repair</h2><p>We recommend not trying Chromebook Screen Repair yourself. Devices have become sophisticated and you may cause more damage. Using the shipping label which we email to you after checkout, send your Asus 10 C100PA to iFixYouri's mail-in center so our skilled repair technicians can inspect your device, pinpoint all/any issues affecting it, and get them repaired the professional way.</p><p>Screen or LCD Replacement is what you need if your Asus 10 C100PA has a cracked display or your Chromebook is displaying horizontal or vertical bars, or nothing at all. Please note that some models require a top cover (lid) replacement while replacing the display. Upon diagnosing your device, a technician will inform you if any other additional repairs are needed. No additional repairs will be started without your approval.</p><div style=""position: relative; padding-bottom: 56.25%; padding-top: 30px; height: 0; overflow: hidden;""><iframe style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; display: block; margin-left: auto; margin-right: auto;"" src=""https://www.youtube.com/embed/tF_zuMX4ixI"" width=""853"" height=""480"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></div><p>With Screen Repair for Asus 10 C100PA Chromebooks, iFixYouri is here to help. Our repair technicians inspect the problem, as well as any other components, repair your device, and send it back to you quickly. If there are any other issues with your device, we'll let you know and proceed with those repairs only after your approval.</p><h3>Shipping Your Chromebook</h3><p>Faster shipping options and extra insurance protection are available for purchase if you'd like. When packaging your device, use a sturdy, secure box. You do not need to ship us your cases, cables, or accessories.</p><h3>90-Day Warranty</h3><p>Screen Repair for the Asus 10 C100PA includes a 90-day warranty that covers all but accidental damage. If you notice something off about the fit, function, or performance of your replacement part or parts, let us know right away and we will be glad to help.</p><h3>Contact/Support</h3><p>Call iFixYouri @ <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>. You can also ask questions using the chatbot or question form below.</p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,Asus 10 C100PA Chromebook Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,299.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0296/6703/3181/files/ChromebookLCDScreenReplacement.jpg?v=1605626283,,Asus 10 C100PA Chromebook LCD Replacement,,Asus 10 C100PA Chromebook Screen Repair,Asus 10 C100PA Chromebook Screen Repair performed by Chromebook repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
asus-10-c100pa-chromebook-keyboard-repair,Asus 10 C100PA Chromebook Keyboard Repair,"<h2>Asus 10 C100PA Chromebook Keyboard Repair</h2><p>At iFixYouri, we understand. Your Asus 10 C100PA is really important to you. When it breaks, it can cause problems. If you need Chromebook Keyboard Repair, let the professional repair technicians at iFixYouri help you out.</p><p>This is the service you need if your Chromebook's keys are not functioning properly. If you suspect your keys are not working due to water or liquid damage, please choose that service instead. If any evidence of liquid damage is found, your technician will contact you to discuss repair options. iFixYouri does not proceed with repairs discovered after diagnosis without your consent.</p><p>After checkout, you'll receive an email confirmation and shipping label. When your Chromebook arrives at our repair center, we do diagnostic tests to determine if any other issues affect your computer. Outgoing testing ensures that your Asus 10 C100PA is fully functional. With the repairs complete, we send you a tracking number and ship your Asus 10 C100PA back to you. So easy.</p><h3>Shipping Your Chromebook</h3><p>We email you a printable shipping label, and include $100 of insurance protection. If you would like faster shipping or more insurance coverage, you have the option to upgrade during checkout. </p><h3>90-Day Warranty</h3><p>Keyboard Repair for the Asus 10 C100PA includes a 90-day warranty that covers all but accidental damage. If you notice something off about the fit, function, or performance of your replacement part or parts, let us know right away and we will be glad to help.</p><h3>Questions? Just Ask.</h3><p>Do you have any questions about Keyboard Repair from iFixYouri? Just ask them in the box below, and we'll get back to you. Alternatively, you can always reach us via our support phone number <a href=""tel:888-494-4349"">888-494-4349</a> or email <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,Asus 10 C100PA Chromebook Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,299.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0296/6703/3181/files/ChromebookKeyboardReplacement.jpg?v=1605626283,,Asus 10 C100PA Chromebook Keyboard Repair,,Asus 10 C100PA Chromebook Keyboard Repair,Asus 10 C100PA Chromebook Keyboard Repair performed by Chromebook repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
asus-10-c100pa-chromebook-battery-replacement,Asus 10 C100PA Chromebook Battery Replacement,"<h2>Asus 10 C100PA Chromebook Battery Replacement</h2><p>We recommend not trying Chromebook Battery Replacement yourself. Devices have become sophisticated and you may cause more damage. Using the shipping label which we email to you after checkout, send your Asus 10 C100PA to iFixYouri's mail-in center so our skilled repair technicians can inspect your device, pinpoint all/any issues affecting it, and get them repaired the professional way.</p><p>Old or bad batteries can really be frustrating. You might need Battery Replacement if your battery does not hold charge well or charges very slowly or barely at all.</p><p>With Battery Replacement for Asus 10 C100PA Chromebooks, iFixYouri is here to help. Our repair technicians inspect the problem, as well as any other components, repair your device, and send it back to you quickly. If there are any other issues with your device, we'll let you know and proceed with those repairs only after your approval.</p><h3>Shipping Your Asus 10 C100PA</h3><p>Send your Asus 10 C100PA Chromebook to iFixYouri via your chosen shipping method. Please ship your device in a sturdy, secure box. If you hear it rattling around in the box, add some more padding. Please do not include cases, cables, or accessories. Standard shipping is covered by us, as well as $100 insurance. Faster shipping and extra insurance coverage can be purchased during checkout.</p><h3>Warranty: Asus 10 C100PA</h3><p>A 90-day warranty that covers all but accidental damage is included. Contact customer service with any questions at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>.</p><h3>Questions? Just Ask.</h3><p>Do you have any questions about Battery Replacement from iFixYouri? Just ask them in the box below, and we'll get back to you. Alternatively, you can always reach us via our support phone number <a href=""tel:888-494-4349"">888-494-4349</a> or email <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,Asus 10 C100PA Chromebook Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,199.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0296/6703/3181/files/ChromebookBatteryReplacement.jpg?v=1605626283,,Asus 10 C100PA Chromebook Battery Replacement,,Asus 10 C100PA Chromebook Battery Replacement,Asus 10 C100PA Chromebook Battery Replacement performed by Chromebook repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
asus-10-c100pa-chromebook-hinge-repair,Asus 10 C100PA Chromebook Hinge Repair,"<h2>Asus 10 C100PA Chromebook Hinge Repair</h2><p>Please don't try Chromebook Hinge Repair yourself. Computers have become more complex, with smaller components. You'll most likely cause more damage. Using the shipping label emailed after checkout, send your Asus 10 C100PA to iFixYouri so our repair technicians can check your device, pinpoint any issues, and get them repaired the professional way.</p><p>This repair is for hinge replacement only. If your Chromebook has damage to the top or bottom cover in addition to the hinge itself, you will be contacted and an updated repair quote will be provided. We do not proceed with repair in this situation until we have your approval.</p><p>With Hinge Repair for Asus 10 C100PA Chromebooks, iFixYouri is here to help. Our repair technicians inspect the problem, as well as any other components, repair your device, and send it back to you quickly. If there are any other issues with your device, we'll let you know and proceed with those repairs only after your approval.</p><h3>Shipping Your Asus 10 C100PA</h3><p>Send your Asus 10 C100PA Chromebook to iFixYouri via your chosen shipping method. Please ship your device in a sturdy, secure box. If you hear it rattling around in the box, add some more padding. Please do not include cases, cables, or accessories. Standard shipping is covered by us, as well as $100 insurance. Faster shipping and extra insurance coverage can be purchased during checkout.</p><h3>Asus 10 C100PA Warranty</h3><p>A 90-day warranty that covers all but accidental damage comes with every repair.</p><h3>Customer Service</h3><p>Questions about Hinge Repair? Type them into the box below, and we'll get back to you as soon as possible. Alternatively, you can reach us at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,Asus 10 C100PA Chromebook Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,199.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0296/6703/3181/files/ChromebookHingeReplacement.jpg?v=1605626283,,Asus 10 C100PA Chromebook Hinge Replacement,,Asus 10 C100PA Chromebook Hinge Repair,Asus 10 C100PA Chromebook Hinge Repair performed by Chromebook repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
asus-10-c100pa-chromebook-bottom-cover-repair,Asus 10 C100PA Chromebook Bottom Cover Repair,"<h2>Asus 10 C100PA Chromebook Bottom Cover Repair</h2><p>Please don't try Chromebook Bottom Cover Repair yourself. Computers have become more complex, with smaller components. You'll most likely cause more damage. Using the shipping label emailed after checkout, send your Asus 10 C100PA to iFixYouri so our repair technicians can check your device, pinpoint any issues, and get them repaired the professional way.</p><p>This repair is for bottom cover replacement only. If your Chromebook has damage to the hinges or top cover in addition to the bottom cover itself, you will be contacted and an updated repair quote will be provided. We won't continue with repairs in this situation until we have your approval.</p><p>Every repair service begins with a series of diagnostic tests to determine what the issue is. Our technicians use their repair experience to quickly diagnose the problem. In many cases, repairs are minimal; however, if we see that your Asus 10 C100PA Chromebook has additional damage, we'll contact you before proceeding.</p><h3>Shipping Your Asus 10 C100PA</h3><p>Send your Asus 10 C100PA Chromebook to iFixYouri via your chosen shipping method. Please ship your device in a sturdy, secure box. If you hear it rattling around in the box, add some more padding. Please do not include cases, cables, or accessories. Standard shipping is covered by us, as well as $100 insurance. Faster shipping and extra insurance coverage can be purchased during checkout.</p><h3>Warranty Details</h3><p>All replacement parts come with a 90-day warranty that covers all but accidental damage.</p><h3>We're Here to Help!</h3><p>iFixYouri can be reached at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>. Questions may be asked using the chatbot or question form below.</p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,Asus 10 C100PA Chromebook Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,199.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0296/6703/3181/files/ChromebookBottomCoverReplacement.jpg?v=1605626283,,Asus 10 C100PA Chromebook Bottom Cover Replacement,,Asus 10 C100PA Chromebook Bottom Cover Repair,Asus 10 C100PA Chromebook Bottom Cover Repair performed by Chromebook repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
asus-10-c100pa-chromebook-top-cover-repair,Asus 10 C100PA Chromebook Top Cover Repair,"<h2>Asus 10 C100PA Chromebook Top Cover Repair</h2><p>The Asus 10 C100PA Chromebook has great build quality and design, but it isn't invincible. Since your device is of little use when broken, it's a good idea to bring it to iFixYouri for expert Top Cover Repair.</p><p>Each device has its lifespan - some devices use higher quality components than others and can last years. However, repeated use or accidents can cause issues that require professional Chromebook repair technicians.</p><p>Our repair technicians will begin with a diagnostic. Typically, repairs are straightforward. If we see that your Asus 10 C100PA Chromebook has additional damage, we'll inform you and get your approval before proceeding.</p><h3>Shipping Your Asus 10 C100PA</h3><p>Send your Asus 10 C100PA Chromebook to iFixYouri via your chosen shipping method. Please ship your device in a sturdy, secure box. If you hear it rattling around in the box, add some more padding. Please do not include cases, cables, or accessories. Standard shipping is covered by us, as well as $100 insurance. Faster shipping and extra insurance coverage can be purchased during checkout.</p><h3>iFixYouri Warranty</h3><p>Asus 10 C100PA Top Cover Repair includes a 90-day warranty that covers everything except accidental damage. If you notice something off about your Chromebook, or your replacement part or parts, please let us know. We'll be glad to help.</p><h3>Contact/Support</h3><p>Call iFixYouri @ <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>. You can also ask questions using the chatbot or question form below.</p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,Asus 10 C100PA Chromebook Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,199.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0296/6703/3181/files/ChromebookBottomCoverReplacement.jpg?v=1605626283,,Asus 10 C100PA Chromebook Bottom Cover Replacement,,Asus 10 C100PA Chromebook Top Cover Repair,Asus 10 C100PA Chromebook Top Cover Repair performed by Chromebook repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
asus-10-c101pa-chromebook-screen-repair,Asus 10 C101PA Chromebook Screen Repair,"<h2>Asus 10 C101PA Chromebook Screen Repair</h2><p>We recommend not trying Chromebook Screen Repair yourself. Devices have become sophisticated and you may cause more damage. Using the shipping label which we email to you after checkout, send your Asus 10 C101PA to iFixYouri's mail-in center so our skilled repair technicians can inspect your device, pinpoint all/any issues affecting it, and get them repaired the professional way.</p><p>Screen or LCD Replacement is what you need if your Asus 10 C101PA has a cracked display or your Chromebook is displaying horizontal or vertical bars, or nothing at all. Please note that some models require a top cover (lid) replacement while replacing the display. Upon diagnosing your device, a technician will inform you if any other additional repairs are needed. No additional repairs will be started without your approval.</p><div style=""position: relative; padding-bottom: 56.25%; padding-top: 30px; height: 0; overflow: hidden;""><iframe style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; display: block; margin-left: auto; margin-right: auto;"" src=""https://www.youtube.com/embed/tF_zuMX4ixI"" width=""853"" height=""480"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></div><p>After checkout, you'll receive an email confirmation and shipping label. When your Chromebook arrives at our repair center, we do diagnostic tests to determine if any other issues affect your computer. Outgoing testing ensures that your Asus 10 C101PA is fully functional. With the repairs complete, we send you a tracking number and ship your Asus 10 C101PA back to you. So easy.</p><h3>Shipping Your Asus 10 C101PA</h3><p>Free shipping and $100 of insurance are included. You may purchase faster shipping options and additional insurance protection during checkout. That's up to you. Don't send us your cables, charges, or cases, please. We have plenty here already :) Just package your Asus 10 C101PA Chromebook in a secure box and affix the provided label.</p><h3>90-Day Warranty</h3><p>Screen Repair for the Asus 10 C101PA includes a 90-day warranty that covers all but accidental damage. If you notice something off about the fit, function, or performance of your replacement part or parts, let us know right away and we will be glad to help.</p><h3>Contact/Support</h3><p>Call iFixYouri @ <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>. You can also ask questions using the chatbot or question form below.</p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,Asus 10 C101PA Chromebook Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,299.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0296/6703/3181/files/ChromebookLCDScreenReplacement.jpg?v=1605626283,,Asus 10 C101PA Chromebook LCD Replacement,,Asus 10 C101PA Chromebook Screen Repair,Asus 10 C101PA Chromebook Screen Repair performed by Chromebook repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
asus-10-c101pa-chromebook-keyboard-repair,Asus 10 C101PA Chromebook Keyboard Repair,"<h2>Asus 10 C101PA Chromebook Keyboard Repair</h2><p>The Asus 10 C101PA Chromebook has great build quality and design, but it isn't invincible. Since your device is of little use when broken, it's a good idea to bring it to iFixYouri for expert Keyboard Repair.</p><p>Each device has its lifespan - some devices use higher quality components than others and can last years. However, repeated use or accidents can cause issues that require professional Chromebook repair technicians.</p><p>This is the service you need if your Chromebook's keys are not functioning properly. If you suspect your keys are not working due to water or liquid damage, please choose that service instead. If any evidence of liquid damage is found, your technician will contact you to discuss repair options. iFixYouri does not proceed with repairs discovered after diagnosis without your consent.</p><p>Every repair service begins with a series of diagnostic tests to determine what the issue is. Our technicians use their repair experience to quickly diagnose the problem. In many cases, repairs are minimal; however, if we see that your Asus 10 C101PA Chromebook has additional damage, we'll contact you before proceeding.</p><h3>Shipping Your Chromebook</h3><p>We email you a printable shipping label, and include $100 of insurance protection. If you would like faster shipping or more insurance coverage, you have the option to upgrade during checkout. </p><h3>Warranty Details</h3><p>All replacement parts come with a 90-day warranty that covers all but accidental damage.</p><h3>Customer Service</h3><p>Questions about Keyboard Repair? Type them into the box below, and we'll get back to you as soon as possible. Alternatively, you can reach us at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,Asus 10 C101PA Chromebook Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,299.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0296/6703/3181/files/ChromebookKeyboardReplacement.jpg?v=1605626283,,Asus 10 C101PA Chromebook Keyboard Repair,,Asus 10 C101PA Chromebook Keyboard Repair,Asus 10 C101PA Chromebook Keyboard Repair performed by Chromebook repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
asus-10-c101pa-chromebook-battery-replacement,Asus 10 C101PA Chromebook Battery Replacement,"<h2>Asus 10 C101PA Chromebook Battery Replacement</h2><p>The Asus 10 C101PA Chromebook has great build quality and design, but it isn't invincible. Since your device is of little use when broken, it's a good idea to bring it to iFixYouri for expert Battery Replacement.</p><p>Each device has its lifespan - some devices use higher quality components than others and can last years. However, repeated use or accidents can cause issues that require professional Chromebook repair technicians.</p><p>Old or bad batteries can really be frustrating. You might need Battery Replacement if your battery does not hold charge well or charges very slowly or barely at all.</p><p>After checkout, you'll receive an email confirmation and shipping label. When your Chromebook arrives at our repair center, we do diagnostic tests to determine if any other issues affect your computer. Outgoing testing ensures that your Asus 10 C101PA is fully functional. With the repairs complete, we send you a tracking number and ship your Asus 10 C101PA back to you. So easy.</p><h3>Shipping Your Asus 10 C101PA</h3><p>Send your Asus 10 C101PA Chromebook to iFixYouri via your chosen shipping method. Please ship your device in a sturdy, secure box. If you hear it rattling around in the box, add some more padding. Please do not include cases, cables, or accessories. Standard shipping is covered by us, as well as $100 insurance. Faster shipping and extra insurance coverage can be purchased during checkout.</p><h3>Warranty Details</h3><p>All replacement parts come with a 90-day warranty that covers all but accidental damage.</p><h3>Questions?</h3><p>If you have specific questions about Battery Replacement or any Asus 10 C101PA service from iFixYouri, please ask them in the box below. Contact customer service with any questions at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>.</p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,Asus 10 C101PA Chromebook Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,199.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0296/6703/3181/files/ChromebookBatteryReplacement.jpg?v=1605626283,,Asus 10 C101PA Chromebook Battery Replacement,,Asus 10 C101PA Chromebook Battery Replacement,Asus 10 C101PA Chromebook Battery Replacement performed by Chromebook repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
asus-10-c101pa-chromebook-hinge-repair,Asus 10 C101PA Chromebook Hinge Repair,"<h2>Asus 10 C101PA Chromebook Hinge Repair</h2><p>The Asus 10 C101PA Chromebook has great build quality and design, but it isn't invincible. Since your device is of little use when broken, it's a good idea to bring it to iFixYouri for expert Hinge Repair.</p><p>Each device has its lifespan - some devices use higher quality components than others and can last years. However, repeated use or accidents can cause issues that require professional Chromebook repair technicians.</p><p>This repair is for hinge replacement only. If your Chromebook has damage to the top or bottom cover in addition to the hinge itself, you will be contacted and an updated repair quote will be provided. We do not proceed with repair in this situation until we have your approval.</p>p>iFixYouri is here to solve your problem with Hinge Repair for Asus 10 C101PA Chromebooks. With this service, we'll determine the extent of the damage, get your device repaired, and send it back to you. We'll let you know if any other issues affect your device and give you the option of proceeding with those repairs.</p><h3>Shipping Your Chromebook</h3><p>Faster shipping options and extra insurance protection are available for purchase if you'd like. When packaging your device, use a sturdy, secure box. You do not need to ship us your cases, cables, or accessories.</p><h3>Asus 10 C101PA Warranty</h3><p>A 90-day warranty that covers all but accidental damage comes with every repair.</p><h3>Contact/Support</h3><p>Call iFixYouri @ <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>. You can also ask questions using the chatbot or question form below.</p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,Asus 10 C101PA Chromebook Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,199.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0296/6703/3181/files/ChromebookHingeReplacement.jpg?v=1605626283,,Asus 10 C101PA Chromebook Hinge Replacement,,Asus 10 C101PA Chromebook Hinge Repair,Asus 10 C101PA Chromebook Hinge Repair performed by Chromebook repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
