Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
hp-11-2010-nr-chromebook-screen-repair,HP 11 2010 NR Chromebook Screen Repair,"<h2>HP 11 2010 NR Chromebook Screen Repair</h2><p>Please don't try Chromebook Screen Repair yourself. Computers have become more complex, with smaller components. You'll most likely cause more damage. Using the shipping label emailed after checkout, send your HP 11 2010 NR to iFixYouri so our repair technicians can check your device, pinpoint any issues, and get them repaired the professional way.</p><p>Screen or LCD Replacement is what you need if your HP 11 2010 NR has a cracked display or your Chromebook is displaying horizontal or vertical bars, or nothing at all. Please note that some models require a top cover (lid) replacement while replacing the display. Upon diagnosing your device, a technician will inform you if any other additional repairs are needed. No additional repairs will be started without your approval.</p><div style=""position: relative; padding-bottom: 56.25%; padding-top: 30px; height: 0; overflow: hidden;""><iframe style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; display: block; margin-left: auto; margin-right: auto;"" src=""https://www.youtube.com/embed/tF_zuMX4ixI"" width=""853"" height=""480"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></div><p>After checkout, you'll receive an email confirmation and shipping label. When your Chromebook arrives at our repair center, we do diagnostic tests to determine if any other issues affect your computer. Outgoing testing ensures that your HP 11 2010 NR is fully functional. With the repairs complete, we send you a tracking number and ship your HP 11 2010 NR back to you. So easy.</p><h3>Shipping Your HP 11 2010 NR</h3><p>Free shipping and $100 of insurance are included. You may purchase faster shipping options and additional insurance protection during checkout. That's up to you. Don't send us your cables, charges, or cases, please. We have plenty here already :) Just package your HP 11 2010 NR Chromebook in a secure box and affix the provided label.</p><h3>HP 11 2010 NR Warranty</h3><p>A 90-day warranty that covers all but accidental damage comes with every repair.</p><h3>Questions? Just Ask.</h3><p>Do you have any questions about Screen Repair from iFixYouri? Just ask them in the box below, and we'll get back to you. Alternatively, you can always reach us via our support phone number <a href=""tel:888-494-4349"">888-494-4349</a> or email <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,HP 11 2010 NR Chromebook Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,299.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0296/6703/3181/files/ChromebookLCDScreenReplacement.jpg?v=1605626283,,HP 11 2010 NR Chromebook LCD Replacement,,HP 11 2010 NR Chromebook Screen Repair,HP 11 2010 NR Chromebook Screen Repair performed by Chromebook repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
hp-11-2010-nr-chromebook-keyboard-repair,HP 11 2010 NR Chromebook Keyboard Repair,"<h2>HP 11 2010 NR Chromebook Keyboard Repair</h2><p>Please don't try Chromebook Keyboard Repair yourself. Computers have become more complex, with smaller components. You'll most likely cause more damage. Using the shipping label emailed after checkout, send your HP 11 2010 NR to iFixYouri so our repair technicians can check your device, pinpoint any issues, and get them repaired the professional way.</p><p>This is the service you need if your Chromebook's keys are not functioning properly. If you suspect your keys are not working due to water or liquid damage, please choose that service instead. If any evidence of liquid damage is found, your technician will contact you to discuss repair options. iFixYouri does not proceed with repairs discovered after diagnosis without your consent.</p><p>Our repair technicians will begin with a diagnostic. Typically, repairs are straightforward. If we see that your HP 11 2010 NR Chromebook has additional damage, we'll inform you and get your approval before proceeding.</p><h3>Shipping Your Chromebook</h3><p>Faster shipping options and extra insurance protection are available for purchase if you'd like. When packaging your device, use a sturdy, secure box. You do not need to ship us your cases, cables, or accessories.</p><h3>Warranty Details</h3><p>All replacement parts come with a 90-day warranty that covers all but accidental damage.</p><h3>Questions?</h3><p>If you have specific questions about Keyboard Repair or any HP 11 2010 NR service from iFixYouri, please ask them in the box below. Contact customer service with any questions at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>.</p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,HP 11 2010 NR Chromebook Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,299.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0296/6703/3181/files/ChromebookKeyboardReplacement.jpg?v=1605626283,,HP 11 2010 NR Chromebook Keyboard Repair,,HP 11 2010 NR Chromebook Keyboard Repair,HP 11 2010 NR Chromebook Keyboard Repair performed by Chromebook repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
hp-11-2010-nr-chromebook-battery-replacement,HP 11 2010 NR Chromebook Battery Replacement,"<h2>HP 11 2010 NR Chromebook Battery Replacement</h2><p>We recommend not trying Chromebook Battery Replacement yourself. Devices have become sophisticated and you may cause more damage. Using the shipping label which we email to you after checkout, send your HP 11 2010 NR to iFixYouri's mail-in center so our skilled repair technicians can inspect your device, pinpoint all/any issues affecting it, and get them repaired the professional way.</p><p>Old or bad batteries can really be frustrating. You might need Battery Replacement if your battery does not hold charge well or charges very slowly or barely at all.</p>p>iFixYouri is here to solve your problem with Battery Replacement for HP 11 2010 NR Chromebooks. With this service, we'll determine the extent of the damage, get your device repaired, and send it back to you. We'll let you know if any other issues affect your device and give you the option of proceeding with those repairs.</p><h3>Shipping Your HP 11 2010 NR</h3><p>Send your HP 11 2010 NR Chromebook to iFixYouri via your chosen shipping method. Please ship your device in a sturdy, secure box. If you hear it rattling around in the box, add some more padding. Please do not include cases, cables, or accessories. Standard shipping is covered by us, as well as $100 insurance. Faster shipping and extra insurance coverage can be purchased during checkout.</p><h3>Warranty: HP 11 2010 NR</h3><p>A 90-day warranty that covers all but accidental damage is included. Contact customer service with any questions at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>.</p><h3>Questions?</h3><p>If you have specific questions about Battery Replacement or any HP 11 2010 NR service from iFixYouri, please ask them in the box below. Contact customer service with any questions at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>.</p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,HP 11 2010 NR Chromebook Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,199.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0296/6703/3181/files/ChromebookBatteryReplacement.jpg?v=1605626283,,HP 11 2010 NR Chromebook Battery Replacement,,HP 11 2010 NR Chromebook Battery Replacement,HP 11 2010 NR Chromebook Battery Replacement performed by Chromebook repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
hp-11-2010-nr-chromebook-hinge-repair,HP 11 2010 NR Chromebook Hinge Repair,"<h2>HP 11 2010 NR Chromebook Hinge Repair</h2><p>At iFixYouri, we understand. Your HP 11 2010 NR is really important to you. When it breaks, it can cause problems. If you need Chromebook Hinge Repair, let the professional repair technicians at iFixYouri help you out.</p><p>This repair is for hinge replacement only. If your Chromebook has damage to the top or bottom cover in addition to the hinge itself, you will be contacted and an updated repair quote will be provided. We do not proceed with repair in this situation until we have your approval.</p><p>Our repair technicians will begin with a diagnostic. Typically, repairs are straightforward. If we see that your HP 11 2010 NR Chromebook has additional damage, we'll inform you and get your approval before proceeding.</p><h3>Shipping Your HP 11 2010 NR</h3><p>Send your HP 11 2010 NR Chromebook to iFixYouri via your chosen shipping method. Please ship your device in a sturdy, secure box. If you hear it rattling around in the box, add some more padding. Please do not include cases, cables, or accessories. Standard shipping is covered by us, as well as $100 insurance. Faster shipping and extra insurance coverage can be purchased during checkout.</p><h3>iFixYouri Warranty</h3><p>HP 11 2010 NR Hinge Repair includes a 90-day warranty that covers everything except accidental damage. If you notice something off about your Chromebook, or your replacement part or parts, please let us know. We'll be glad to help.</p><h3>Customer Service</h3><p>Questions about Hinge Repair? Type them into the box below, and we'll get back to you as soon as possible. Alternatively, you can reach us at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,HP 11 2010 NR Chromebook Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,199.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0296/6703/3181/files/ChromebookHingeReplacement.jpg?v=1605626283,,HP 11 2010 NR Chromebook Hinge Replacement,,HP 11 2010 NR Chromebook Hinge Repair,HP 11 2010 NR Chromebook Hinge Repair performed by Chromebook repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
hp-11-2010-nr-chromebook-bottom-cover-repair,HP 11 2010 NR Chromebook Bottom Cover Repair,"<h2>HP 11 2010 NR Chromebook Bottom Cover Repair</h2><p>At iFixYouri, we understand. Your HP 11 2010 NR is really important to you. When it breaks, it can cause problems. If you need Chromebook Bottom Cover Repair, let the professional repair technicians at iFixYouri help you out.</p><p>This repair is for bottom cover replacement only. If your Chromebook has damage to the hinges or top cover in addition to the bottom cover itself, you will be contacted and an updated repair quote will be provided. We won't continue with repairs in this situation until we have your approval.</p><p>After checkout, you'll receive an email confirmation and shipping label. When your Chromebook arrives at our repair center, we do diagnostic tests to determine if any other issues affect your computer. Outgoing testing ensures that your HP 11 2010 NR is fully functional. With the repairs complete, we send you a tracking number and ship your HP 11 2010 NR back to you. So easy.</p><h3>Shipping Your HP 11 2010 NR</h3><p>Send your HP 11 2010 NR Chromebook to iFixYouri via your chosen shipping method. Please ship your device in a sturdy, secure box. If you hear it rattling around in the box, add some more padding. Please do not include cases, cables, or accessories. Standard shipping is covered by us, as well as $100 insurance. Faster shipping and extra insurance coverage can be purchased during checkout.</p><h3>HP 11 2010 NR Warranty</h3><p>A 90-day warranty that covers all but accidental damage comes with every repair.</p><h3>We're Here to Help!</h3><p>iFixYouri can be reached at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>. Questions may be asked using the chatbot or question form below.</p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,HP 11 2010 NR Chromebook Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,199.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0296/6703/3181/files/ChromebookBottomCoverReplacement.jpg?v=1605626283,,HP 11 2010 NR Chromebook Bottom Cover Replacement,,HP 11 2010 NR Chromebook Bottom Cover Repair,HP 11 2010 NR Chromebook Bottom Cover Repair performed by Chromebook repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
hp-11-2010-nr-chromebook-top-cover-repair,HP 11 2010 NR Chromebook Top Cover Repair,"<h2>HP 11 2010 NR Chromebook Top Cover Repair</h2><p>The HP 11 2010 NR Chromebook has great build quality and design, but it isn't invincible. Since your device is of little use when broken, it's a good idea to bring it to iFixYouri for expert Top Cover Repair.</p><p>Each device has its lifespan - some devices use higher quality components than others and can last years. However, repeated use or accidents can cause issues that require professional Chromebook repair technicians.</p><p>Our repair technicians will begin with a diagnostic. Typically, repairs are straightforward. If we see that your HP 11 2010 NR Chromebook has additional damage, we'll inform you and get your approval before proceeding.</p><h3>Shipping Your Chromebook</h3><p>We email you a printable shipping label, and include $100 of insurance protection. If you would like faster shipping or more insurance coverage, you have the option to upgrade during checkout. </p><h3>iFixYouri Warranty</h3><p>HP 11 2010 NR Top Cover Repair includes a 90-day warranty that covers everything except accidental damage. If you notice something off about your Chromebook, or your replacement part or parts, please let us know. We'll be glad to help.</p><h3>Contact/Support</h3><p>Call iFixYouri @ <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>. You can also ask questions using the chatbot or question form below.</p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,HP 11 2010 NR Chromebook Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,199.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0296/6703/3181/files/ChromebookBottomCoverReplacement.jpg?v=1605626283,,HP 11 2010 NR Chromebook Bottom Cover Replacement,,HP 11 2010 NR Chromebook Top Cover Repair,HP 11 2010 NR Chromebook Top Cover Repair performed by Chromebook repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
hp-11-cb2-chromebook-screen-repair,HP 11 CB2 Chromebook Screen Repair,"<h2>HP 11 CB2 Chromebook Screen Repair</h2><p>At iFixYouri, we understand. Your HP 11 CB2 is really important to you. When it breaks, it can cause problems. If you need Chromebook Screen Repair, let the professional repair technicians at iFixYouri help you out.</p><p>Screen or LCD Replacement is what you need if your HP 11 CB2 has a cracked display or your Chromebook is displaying horizontal or vertical bars, or nothing at all. Please note that some models require a top cover (lid) replacement while replacing the display. Upon diagnosing your device, a technician will inform you if any other additional repairs are needed. No additional repairs will be started without your approval.</p><div style=""position: relative; padding-bottom: 56.25%; padding-top: 30px; height: 0; overflow: hidden;""><iframe style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; display: block; margin-left: auto; margin-right: auto;"" src=""https://www.youtube.com/embed/tF_zuMX4ixI"" width=""853"" height=""480"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></div><p>After checkout, you'll receive an email confirmation and shipping label. When your Chromebook arrives at our repair center, we do diagnostic tests to determine if any other issues affect your computer. Outgoing testing ensures that your HP 11 CB2 is fully functional. With the repairs complete, we send you a tracking number and ship your HP 11 CB2 back to you. So easy.</p><h3>Shipping Your Chromebook</h3><p>Faster shipping options and extra insurance protection are available for purchase if you'd like. When packaging your device, use a sturdy, secure box. You do not need to ship us your cases, cables, or accessories.</p><h3>Warranty Details</h3><p>All replacement parts come with a 90-day warranty that covers all but accidental damage.</p><h3>Questions? Just Ask.</h3><p>Do you have any questions about Screen Repair from iFixYouri? Just ask them in the box below, and we'll get back to you. Alternatively, you can always reach us via our support phone number <a href=""tel:888-494-4349"">888-494-4349</a> or email <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,HP 11 CB2 Chromebook Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,299.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0296/6703/3181/files/ChromebookLCDScreenReplacement.jpg?v=1605626283,,HP 11 CB2 Chromebook LCD Replacement,,HP 11 CB2 Chromebook Screen Repair,HP 11 CB2 Chromebook Screen Repair performed by Chromebook repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
hp-11-cb2-chromebook-keyboard-repair,HP 11 CB2 Chromebook Keyboard Repair,"<h2>HP 11 CB2 Chromebook Keyboard Repair</h2><p>We recommend not trying Chromebook Keyboard Repair yourself. Devices have become sophisticated and you may cause more damage. Using the shipping label which we email to you after checkout, send your HP 11 CB2 to iFixYouri's mail-in center so our skilled repair technicians can inspect your device, pinpoint all/any issues affecting it, and get them repaired the professional way.</p><p>This is the service you need if your Chromebook's keys are not functioning properly. If you suspect your keys are not working due to water or liquid damage, please choose that service instead. If any evidence of liquid damage is found, your technician will contact you to discuss repair options. iFixYouri does not proceed with repairs discovered after diagnosis without your consent.</p><p>With Keyboard Repair for HP 11 CB2 Chromebooks, iFixYouri is here to help. Our repair technicians inspect the problem, as well as any other components, repair your device, and send it back to you quickly. If there are any other issues with your device, we'll let you know and proceed with those repairs only after your approval.</p><h3>Shipping Your Chromebook</h3><p>Faster shipping options and extra insurance protection are available for purchase if you'd like. When packaging your device, use a sturdy, secure box. You do not need to ship us your cases, cables, or accessories.</p><h3>HP 11 CB2 Warranty</h3><p>A 90-day warranty that covers all but accidental damage comes with every repair.</p><h3>Customer Service</h3><p>Questions about Keyboard Repair? Type them into the box below, and we'll get back to you as soon as possible. Alternatively, you can reach us at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,HP 11 CB2 Chromebook Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,299.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0296/6703/3181/files/ChromebookKeyboardReplacement.jpg?v=1605626283,,HP 11 CB2 Chromebook Keyboard Repair,,HP 11 CB2 Chromebook Keyboard Repair,HP 11 CB2 Chromebook Keyboard Repair performed by Chromebook repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
hp-11-cb2-chromebook-battery-replacement,HP 11 CB2 Chromebook Battery Replacement,"<h2>HP 11 CB2 Chromebook Battery Replacement</h2><p>The HP 11 CB2 Chromebook has great build quality and design, but it isn't invincible. Since your device is of little use when broken, it's a good idea to bring it to iFixYouri for expert Battery Replacement.</p><p>Each device has its lifespan - some devices use higher quality components than others and can last years. However, repeated use or accidents can cause issues that require professional Chromebook repair technicians.</p><p>Old or bad batteries can really be frustrating. You might need Battery Replacement if your battery does not hold charge well or charges very slowly or barely at all.</p><p>After checkout, you'll receive an email confirmation and shipping label. When your Chromebook arrives at our repair center, we do diagnostic tests to determine if any other issues affect your computer. Outgoing testing ensures that your HP 11 CB2 is fully functional. With the repairs complete, we send you a tracking number and ship your HP 11 CB2 back to you. So easy.</p><h3>Shipping Your HP 11 CB2</h3><p>Send your HP 11 CB2 Chromebook to iFixYouri via your chosen shipping method. Please ship your device in a sturdy, secure box. If you hear it rattling around in the box, add some more padding. Please do not include cases, cables, or accessories. Standard shipping is covered by us, as well as $100 insurance. Faster shipping and extra insurance coverage can be purchased during checkout.</p><h3>90-Day Warranty</h3><p>Battery Replacement for the HP 11 CB2 includes a 90-day warranty that covers all but accidental damage. If you notice something off about the fit, function, or performance of your replacement part or parts, let us know right away and we will be glad to help.</p><h3>Contact/Support</h3><p>Call iFixYouri @ <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>. You can also ask questions using the chatbot or question form below.</p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,HP 11 CB2 Chromebook Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,199.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0296/6703/3181/files/ChromebookBatteryReplacement.jpg?v=1605626283,,HP 11 CB2 Chromebook Battery Replacement,,HP 11 CB2 Chromebook Battery Replacement,HP 11 CB2 Chromebook Battery Replacement performed by Chromebook repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
hp-11-cb2-chromebook-hinge-repair,HP 11 CB2 Chromebook Hinge Repair,"<h2>HP 11 CB2 Chromebook Hinge Repair</h2><p>The HP 11 CB2 Chromebook has great build quality and design, but it isn't invincible. Since your device is of little use when broken, it's a good idea to bring it to iFixYouri for expert Hinge Repair.</p><p>Each device has its lifespan - some devices use higher quality components than others and can last years. However, repeated use or accidents can cause issues that require professional Chromebook repair technicians.</p><p>This repair is for hinge replacement only. If your Chromebook has damage to the top or bottom cover in addition to the hinge itself, you will be contacted and an updated repair quote will be provided. We do not proceed with repair in this situation until we have your approval.</p><p>Our repair technicians will begin with a diagnostic. Typically, repairs are straightforward. If we see that your HP 11 CB2 Chromebook has additional damage, we'll inform you and get your approval before proceeding.</p><h3>Shipping Your HP 11 CB2</h3><p>Send your HP 11 CB2 Chromebook to iFixYouri via your chosen shipping method. Please ship your device in a sturdy, secure box. If you hear it rattling around in the box, add some more padding. Please do not include cases, cables, or accessories. Standard shipping is covered by us, as well as $100 insurance. Faster shipping and extra insurance coverage can be purchased during checkout.</p><h3>Warranty: HP 11 CB2</h3><p>A 90-day warranty that covers all but accidental damage is included. Contact customer service with any questions at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>.</p><h3>Questions?</h3><p>If you have specific questions about Hinge Repair or any HP 11 CB2 service from iFixYouri, please ask them in the box below. Contact customer service with any questions at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>.</p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,HP 11 CB2 Chromebook Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,199.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0296/6703/3181/files/ChromebookHingeReplacement.jpg?v=1605626283,,HP 11 CB2 Chromebook Hinge Replacement,,HP 11 CB2 Chromebook Hinge Repair,HP 11 CB2 Chromebook Hinge Repair performed by Chromebook repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
