Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
google-pixel-3a-diagnostic-service,Google Pixel 3a Diagnostic Service,"<div style=""position: relative; padding-bottom: 56.25%; padding-top: 30px; height: 0; overflow: hidden;""><iframe style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; display: block; margin-left: auto; margin-right: auto;"" src=""https://www.youtube.com/embed/9z61L7QyDVo"" width=""853"" height=""480"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></div><p>&nbsp;</p><h2>Google Pixel 3a Diagnostic Service</h2><p>&nbsp;</p><p>We recommend not trying Diagnostic Service yourself. Devices have become more and more sophisticated and you may cause more damage. Using the supplied shipping label, send your Google Pixel 3a to iFixYouri's mail-in center so our skilled repair technicians can inspect your device, pinpoint all/any issues affecting it, and get them repaired the professional way.</p><p>&nbsp;</p><p><strong>*NOTE: If you decline repairs for diagnostic or water damage treatment or your device is deemed non-repairable, you will be responsible for shipping and handling.</strong></p> This is the service you need if you aren't quite sure what the problem with your Google Pixel 3a is. We'll find out what is going on, and contact you with a repair quote.<p>&nbsp;</p><p>With Diagnostic Service for Google Pixel 3a, iFixYouri is here to help. With this service, our repair technicians inspect the problem, as well as any other affected components, repair your device, and send it back to you asap. If there are any other issues affecting your device, we'll let you know and proceed with those repairs only after your approval.</p><p>&nbsp;</p><p>Send your Google Pixel 3a to iFixYouri via the UPS shipping method of your choosing. Please ship your device in a sturdy, secure box. If you hear it rattling around in the box, add some more padding. Please do not include cases, cables, or accessories. Standard UPS Ground is covered by us, as well as $100 insurance. Faster shipping and extra insurance coverage can be purchased using the drop-down boxes above.</p><p>&nbsp;</p><p>If you have specific questions about Diagnostic Service or any Google Pixel 3a service from iFixYouri, please ask them in the box below. Contact customer service with any questions at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>.</p>",iFixYouri,,Google Pixel 3a Repair Services,TRUE,Title,Default Title,,,,,,0,,continue,manual,0.0,,TRUE,TRUE,,,,,,Google Pixel 3a Diagnostic Service,Google Pixel 3a Diagnostic Service performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
google-pixel-3a-glass-repair,Google Pixel 3a Glass Repair,"<div style=""position: relative; padding-bottom: 56.25%; padding-top: 30px; height: 0; overflow: hidden;""><iframe style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; display: block; margin-left: auto; margin-right: auto;"" src=""https://www.youtube.com/embed/1vrnuazxPIo"" width=""853"" height=""480"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></div><p>&nbsp;</p><h2>Google Pixel 3a Glass Repair</h2><p>&nbsp;</p><p>The Google Pixel 3a has great build quality and design, but it isn't invincible. Since your device is of little use when broken, it's a good idea to bring it to iFixYouri for expert Glass Repair.</p><p>&nbsp;<p>Each device has its own lifespan - some devices use higher quality components than others and can last years if properly maintained. Drops, water or liquid, even a jolt can damage your device. </p> Those who have both cracked glass and a broken LCD should opt for our Google Pixel 3a Glass & LCD Repair. This service is for glass breakage only.<p>&nbsp;</p><p>Every repair service begins with a series of diagnostic tests to determine what the issue is. Our technicians use their repair experience to quickly diagnose the problem. In most cases, repairs are minimal; however, if we see that your Google Pixel 3a has additional damage, we'll contact you before proceeding.</p><p>&nbsp;</p><p>We email you a printable shipping label, and include $100 of insurance protection. If you would like faster shipping or more insurance coverage, you have the option to upgrade above using the drop-downs. </p><p>&nbsp;</p><p>All replacement parts come with a 90-day warranty that covers all but accidental damage.</p><p>&nbsp;</p><p>iFixYouri can be reached at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>. Get your Google Pixel 3a working like new with the help of experienced technicians who do the job right the first time, and save yourself a lot of money and hassle.</p>",iFixYouri,,Google Pixel 3a Repair Services,TRUE,Title,Default Title,,,,,,0,,continue,manual,349.99,,TRUE,TRUE,,,,,,Google Pixel 3a Glass Repair,Google Pixel 3a Glass Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
google-pixel-3a-glass-&-lcd-repair,Google Pixel 3a Glass & LCD Repair,"<div style=""position: relative; padding-bottom: 56.25%; padding-top: 30px; height: 0; overflow: hidden;""><iframe style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; display: block; margin-left: auto; margin-right: auto;"" src=""https://www.youtube.com/embed/tF_zuMX4ixI"" width=""853"" height=""480"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></div><p>&nbsp;</p><h2>Google Pixel 3a Glass & LCD Repair</h2><p>&nbsp;</p><p>We recommend not trying Glass & LCD Repair yourself. Devices have become more and more sophisticated and you may cause more damage. Using the supplied shipping label, send your Google Pixel 3a to iFixYouri's mail-in center so our skilled repair technicians can inspect your device, pinpoint all/any issues affecting it, and get them repaired the professional way.</p> Those who have only cracked glass, NOT a broken LCD, should opt for our Google Pixel 3a Glass Repair. This service is for both cracked glass and a broken LCD.<p>&nbsp;</p><p>With Glass & LCD Repair for Google Pixel 3a, iFixYouri is here to help. With this service, our repair technicians inspect the problem, as well as any other affected components, repair your device, and send it back to you asap. If there are any other issues affecting your device, we'll let you know and proceed with those repairs only after your approval.</p><p>&nbsp;</p><p>Send your Google Pixel 3a to iFixYouri via the UPS shipping method of your choosing. Please ship your device in a sturdy, secure box. If you hear it rattling around in the box, add some more padding. Please do not include cases, cables, or accessories. Standard UPS Ground is covered by us, as well as $100 insurance. Faster shipping and extra insurance coverage can be purchased using the drop-down boxes above.</p><p>&nbsp;</p><p>A 90-day warranty that covers all but accidental damage is included. Contact customer service with any questions at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>.</p><p>&nbsp;</p><p>Questions about Glass & LCD Repair? Type them into the box below, and we'll get back to you as soon as possible. Alternatively, you can reach us at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p>",iFixYouri,,Google Pixel 3a Repair Services,TRUE,Title,Default Title,,,,,,0,,continue,manual,369.99,,TRUE,TRUE,,,,,,Google Pixel 3a Glass & LCD Repair,Google Pixel 3a Glass & LCD Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
google-pixel-3a-battery-replacement,Google Pixel 3a Battery Replacement,"<h2>Google Pixel 3a Battery Replacement</h2><p>&nbsp;</p><p>At iFixYouri, we understand. Your Google Pixel 3a is really important to you. When it breaks, it can really mess up your day. If you are in need of Battery Replacement, let the professional repair technicians at iFixYouri help you out.</p> Old or bad batteries can really be frustrating. You might need Battery Replacement if your battery does not hold charge well or charges very slowly or barely at all.<p>&nbsp;</p><p>After checkout, you'll receive an email confirmation and shipping label. When your phone arrives at our repair center, we do diagnostic tests to determine if any other issues are at play. Outgoing testing ensures that your Google Pixel 3a is fully functional. With the repairs complete, we send you a tracking number and ship your Google Pixel 3a back to you!</p><p>&nbsp;</p>Free UPS ground shipping and $100 of insurance are included. You may purchase faster shipping options and additional insurance protection using the drop-down options above. That's up to you. Don't send us your cables, charges, or cases please. We have plenty here already :) Just package your Google Pixel 3a in a secure box and affix the provided label.</p><p>&nbsp;</p><p>All replacement parts come with a 90-day warranty that covers all but accidental damage.</p><p>&nbsp;</p><p>Questions about Battery Replacement? Type them into the box below, and we'll get back to you as soon as possible. Alternatively, you can reach us at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p>",iFixYouri,,Google Pixel 3a Repair Services,TRUE,Title,Default Title,,,,,,0,,continue,manual,99.99,,TRUE,TRUE,,,,,,Google Pixel 3a Battery Replacement,Google Pixel 3a Battery Replacement performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
google-pixel-3a-charging-port-repair,Google Pixel 3a Charging Port Repair,"<h2>Google Pixel 3a Charging Port Repair</h2><p>&nbsp;</p><p>We recommend not trying Charging Port Repair yourself. Devices have become more and more sophisticated and you may cause more damage. Using the supplied shipping label, send your Google Pixel 3a to iFixYouri's mail-in center so our skilled repair technicians can inspect your device, pinpoint all/any issues affecting it, and get them repaired the professional way.</p> Charging port repair may be what you need if your device is charging slowly or not at all. Sometimes the battery needs replacement. Whatever the case, the professional technicians at iFixYouri can help.<p>&nbsp;</p><p>With Charging Port Repair for Google Pixel 3a, iFixYouri is here to help. With this service, our repair technicians inspect the problem, as well as any other affected components, repair your device, and send it back to you asap. If there are any other issues affecting your device, we'll let you know and proceed with those repairs only after your approval.</p><p>&nbsp;</p><p>Faster shipping options and extra insurance protection are available for purchase if you'd like. Simply choose from the drop-downs before adding to your shopping cart. When packaging your device, use a sturdy, secure box. You do not need to ship us your cases, cables, or accessories.</p><p>&nbsp;</p><p>Charging Port Repair repair includes a 90-day warranty that covers all but accidental damage. If you notice something off about the fit, function, or performance of your replacement part or parts, let us know right away and we will be glad to help.</p><p>&nbsp;</p><p>Do you have any questions about Charging Port Repair from iFixYouri? Just ask them in the box below, and we'll get back to you. Alternatively, you can always reach us via our support phone number <a href=""tel:888-494-4349"">888-494-4349</a> or email <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p>",iFixYouri,,Google Pixel 3a Repair Services,TRUE,Title,Default Title,,,,,,0,,continue,manual,79.99,,TRUE,TRUE,,,,,,Google Pixel 3a Charging Port Repair,Google Pixel 3a Charging Port Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
google-pixel-3a-front-camera-repair,Google Pixel 3a Front Camera Repair,"<h2>Google Pixel 3a Front Camera Repair</h2><p>&nbsp;</p><p>At iFixYouri, we understand. Your Google Pixel 3a is really important to you. When it breaks, it can really mess up your day. If you are in need of Front Camera Repair, let the professional repair technicians at iFixYouri help you out.</p><p>&nbsp;</p><p>With Front Camera Repair for Google Pixel 3a, iFixYouri is here to help. With this service, our repair technicians inspect the problem, as well as any other affected components, repair your device, and send it back to you asap. If there are any other issues affecting your device, we'll let you know and proceed with those repairs only after your approval.</p><p>&nbsp;</p><p>Faster shipping options and extra insurance protection are available for purchase if you'd like. Simply choose from the drop-downs before adding to your shopping cart. When packaging your device, use a sturdy, secure box. You do not need to ship us your cases, cables, or accessories.</p><p>&nbsp;</p><p>All replacement parts come with a 90-day warranty that covers all but accidental damage.</p><p>&nbsp;</p><p>iFixYouri can be reached at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>. Get your Google Pixel 3a working like new with the help of experienced technicians who do the job right the first time, and save yourself a lot of money and hassle.</p>",iFixYouri,,Google Pixel 3a Repair Services,TRUE,Title,Default Title,,,,,,0,,continue,manual,99.99,,TRUE,TRUE,,,,,,Google Pixel 3a Front Camera Repair,Google Pixel 3a Front Camera Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
google-pixel-3a-loud-speaker-repair,Google Pixel 3a Loud Speaker Repair,"<h2>Google Pixel 3a Loud Speaker Repair</h2><p>&nbsp;</p><p>We recommend not trying Loud Speaker Repair yourself. Devices have become more and more sophisticated and you may cause more damage. Using the supplied shipping label, send your Google Pixel 3a to iFixYouri's mail-in center so our skilled repair technicians can inspect your device, pinpoint all/any issues affecting it, and get them repaired the professional way.</p><p>&nbsp;</p><p>iFixYouri is here to solve your problem with Loud Speaker Repair for Google Pixel 3a. With this service, we'll determine the extent of the damage, get your device repaired, and send it back to you. We'll let you know if there are any other issues affecting your device and give you the option of proceeding with those repairs.</p><p>&nbsp;</p><p>Send your Google Pixel 3a to iFixYouri via the UPS shipping method of your choosing. Please ship your device in a sturdy, secure box. If you hear it rattling around in the box, add some more padding. Please do not include cases, cables, or accessories. Standard UPS Ground is covered by us, as well as $100 insurance. Faster shipping and extra insurance coverage can be purchased using the drop-down boxes above.</p><p>&nbsp;</p><p>Loud Speaker Repair repair includes a 90-day warranty that covers all but accidental damage. If you notice something off about the fit, function, or performance of your replacement part or parts, let us know right away and we will be glad to help.</p><p>&nbsp;</p><p>iFixYouri can be reached at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>. Get your Google Pixel 3a working like new with the help of experienced technicians who do the job right the first time, and save yourself a lot of money and hassle.</p>",iFixYouri,,Google Pixel 3a Repair Services,TRUE,Title,Default Title,,,,,,0,,continue,manual,79.99,,TRUE,TRUE,,,,,,Google Pixel 3a Loud Speaker Repair,Google Pixel 3a Loud Speaker Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
google-pixel-3a-microphone-repair,Google Pixel 3a Microphone Repair,"<h2>Google Pixel 3a Microphone Repair</h2><p>&nbsp;</p><p>At iFixYouri, we understand. Your Google Pixel 3a is really important to you. When it breaks, it can really mess up your day. If you are in need of Microphone Repair, let the professional repair technicians at iFixYouri help you out.</p><p>&nbsp;</p><p>After checkout, you'll receive an email confirmation and shipping label. When your phone arrives at our repair center, we do diagnostic tests to determine if any other issues are at play. Outgoing testing ensures that your Google Pixel 3a is fully functional. With the repairs complete, we send you a tracking number and ship your Google Pixel 3a back to you!</p><p>&nbsp;</p><p>Send your Google Pixel 3a to iFixYouri via the UPS shipping method of your choosing. Please ship your device in a sturdy, secure box. If you hear it rattling around in the box, add some more padding. Please do not include cases, cables, or accessories. Standard UPS Ground is covered by us, as well as $100 insurance. Faster shipping and extra insurance coverage can be purchased using the drop-down boxes above.</p><p>&nbsp;</p><p>All replacement parts come with a 90-day warranty that covers all but accidental damage.</p><p>&nbsp;</p><p>Questions about Microphone Repair? Type them into the box below, and we'll get back to you as soon as possible. Alternatively, you can reach us at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p>",iFixYouri,,Google Pixel 3a Repair Services,TRUE,Title,Default Title,,,,,,0,,continue,manual,89.99,,TRUE,TRUE,,,,,,Google Pixel 3a Microphone Repair,Google Pixel 3a Microphone Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
google-pixel-3a-power-button-repair,Google Pixel 3a Power Button Repair,"<h2>Google Pixel 3a Power Button Repair</h2><p>&nbsp;</p><p>The Google Pixel 3a has great build quality and design, but it isn't invincible. Since your device is of little use when broken, it's a good idea to bring it to iFixYouri for expert Power Button Repair.</p><p>&nbsp;<p>Each device has its own lifespan - some devices use higher quality components than others and can last years if properly maintained. Drops, water or liquid, even a jolt can damage your device. </p><p>&nbsp;</p><p>After checkout, you'll receive an email confirmation and shipping label. When your phone arrives at our repair center, we do diagnostic tests to determine if any other issues are at play. Outgoing testing ensures that your Google Pixel 3a is fully functional. With the repairs complete, we send you a tracking number and ship your Google Pixel 3a back to you!</p><p>&nbsp;</p><p>Send your Google Pixel 3a to iFixYouri via the UPS shipping method of your choosing. Please ship your device in a sturdy, secure box. If you hear it rattling around in the box, add some more padding. Please do not include cases, cables, or accessories. Standard UPS Ground is covered by us, as well as $100 insurance. Faster shipping and extra insurance coverage can be purchased using the drop-down boxes above.</p><p>&nbsp;</p><p>Power Button Repair repair includes a 90-day warranty that covers all but accidental damage. If you notice something off about the fit, function, or performance of your replacement part or parts, let us know right away and we will be glad to help.</p><p>&nbsp;</p><p>If you have specific questions about Power Button Repair or any Google Pixel 3a service from iFixYouri, please ask them in the box below. Contact customer service with any questions at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>.</p>",iFixYouri,,Google Pixel 3a Repair Services,TRUE,Title,Default Title,,,,,,0,,continue,manual,99.99,,TRUE,TRUE,,,,,,Google Pixel 3a Power Button Repair,Google Pixel 3a Power Button Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
google-pixel-3a-rear-camera-repair,Google Pixel 3a Rear Camera Repair,"<h2>Google Pixel 3a Rear Camera Repair</h2><p>&nbsp;</p><p>We recommend not trying Rear Camera Repair yourself. Devices have become more and more sophisticated and you may cause more damage. Using the supplied shipping label, send your Google Pixel 3a to iFixYouri's mail-in center so our skilled repair technicians can inspect your device, pinpoint all/any issues affecting it, and get them repaired the professional way.</p><p>&nbsp;</p><p>With Rear Camera Repair for Google Pixel 3a, iFixYouri is here to help. With this service, our repair technicians inspect the problem, as well as any other affected components, repair your device, and send it back to you asap. If there are any other issues affecting your device, we'll let you know and proceed with those repairs only after your approval.</p><p>&nbsp;</p><p>We email you a printable shipping label, and include $100 of insurance protection. If you would like faster shipping or more insurance coverage, you have the option to upgrade above using the drop-downs. </p><p>&nbsp;</p><p>All replacement parts come with a 90-day warranty that covers all but accidental damage.</p><p>&nbsp;</p><p>iFixYouri can be reached at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>. Get your Google Pixel 3a working like new with the help of experienced technicians who do the job right the first time, and save yourself a lot of money and hassle.</p>",iFixYouri,,Google Pixel 3a Repair Services,TRUE,Title,Default Title,,,,,,0,,continue,manual,129.99,,TRUE,TRUE,,,,,,Google Pixel 3a Rear Camera Repair,Google Pixel 3a Rear Camera Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
