Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price	Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS Ground Label. FREE!,,Ship my device back to me UPS Ground. FREE!,,$100 - FREE!,,0,,continue,manual,0.0,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS 2nd Day Air Label. +$10.00,,Ship my device back to me UPS Ground. FREE!,,$100 - FREE!,,0,,continue,manual,10.0,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS Next Day Air Label. +$20.00,,Ship my device back to me UPS Ground. FREE!,,$100 - FREE!,,0,,continue,manual,20.0,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS Ground Label. FREE!,,Ship my device back to me UPS Ground. FREE!,,$250 - +$5.00,,0,,continue,manual,5.0,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS 2nd Day Air Label. +$10.00,,Ship my device back to me UPS Ground. FREE!,,$250 - +$5.00,,0,,continue,manual,15.0,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS Next Day Air Label. +$20.00,,Ship my device back to me UPS Ground. FREE!,,$250 - +$5.00,,0,,continue,manual,25.0,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS Ground Label. FREE!,,Ship my device back to me UPS Ground. FREE!,,$500 - +$10.00,,0,,continue,manual,10.0,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS 2nd Day Air Label. +$10.00,,Ship my device back to me UPS Ground. FREE!,,$500 - +$10.00,,0,,continue,manual,20.0,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS Next Day Air Label. +$20.00,,Ship my device back to me UPS Ground. FREE!,,$500 - +$10.00,,0,,continue,manual,30.0,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS Ground Label. FREE!,,Ship my device back to me UPS Ground. FREE!,,$750 - +$15.00,,0,,continue,manual,15.0,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS 2nd Day Air Label. +$10.00,,Ship my device back to me UPS Ground. FREE!,,$750 - +$15.00,,0,,continue,manual,25.0,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS Next Day Air Label. +$20.00,,Ship my device back to me UPS Ground. FREE!,,$750 - +$15.00,,0,,continue,manual,35.0,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS Ground Label. FREE!,,Ship my device back to me UPS Ground. FREE!,,"$1,000 - +$20.00",,0,,continue,manual,20.0,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS 2nd Day Air Label. +$10.00,,Ship my device back to me UPS Ground. FREE!,,"$1,000 - +$20.00",,0,,continue,manual,30.0,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS Next Day Air Label. +$20.00,,Ship my device back to me UPS Ground. FREE!,,"$1,000 - +$20.00",,0,,continue,manual,40.0,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS Ground Label. FREE!,,Ship my device back to me UPS 2nd Day Air. +$13.50,,$100 - FREE!,,0,,continue,manual,13.5,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS 2nd Day Air Label. +$10.00,,Ship my device back to me UPS 2nd Day Air. +$13.50,,$100 - FREE!,,0,,continue,manual,23.5,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS Next Day Air Label. +$20.00,,Ship my device back to me UPS 2nd Day Air. +$13.50,,$100 - FREE!,,0,,continue,manual,33.5,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS Ground Label. FREE!,,Ship my device back to me UPS 2nd Day Air. +$13.50,,$250 - +$5.00,,0,,continue,manual,18.5,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS 2nd Day Air Label. +$10.00,,Ship my device back to me UPS 2nd Day Air. +$13.50,,$250 - +$5.00,,0,,continue,manual,28.5,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS Next Day Air Label. +$20.00,,Ship my device back to me UPS 2nd Day Air. +$13.50,,$250 - +$5.00,,0,,continue,manual,38.5,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS Ground Label. FREE!,,Ship my device back to me UPS 2nd Day Air. +$13.50,,$500 - +$10.00,,0,,continue,manual,23.5,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS 2nd Day Air Label. +$10.00,,Ship my device back to me UPS 2nd Day Air. +$13.50,,$500 - +$10.00,,0,,continue,manual,33.5,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS Next Day Air Label. +$20.00,,Ship my device back to me UPS 2nd Day Air. +$13.50,,$500 - +$10.00,,0,,continue,manual,43.5,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS Ground Label. FREE!,,Ship my device back to me UPS 2nd Day Air. +$13.50,,$750 - +$15.00,,0,,continue,manual,28.5,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS 2nd Day Air Label. +$10.00,,Ship my device back to me UPS 2nd Day Air. +$13.50,,$750 - +$15.00,,0,,continue,manual,38.5,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS Next Day Air Label. +$20.00,,Ship my device back to me UPS 2nd Day Air. +$13.50,,$750 - +$15.00,,0,,continue,manual,48.5,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS Ground Label. FREE!,,Ship my device back to me UPS 2nd Day Air. +$13.50,,"$1,000 - +$20.00",,0,,continue,manual,33.5,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS 2nd Day Air Label. +$10.00,,Ship my device back to me UPS 2nd Day Air. +$13.50,,"$1,000 - +$20.00",,0,,continue,manual,43.5,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS Next Day Air Label. +$20.00,,Ship my device back to me UPS 2nd Day Air. +$13.50,,"$1,000 - +$20.00",,0,,continue,manual,53.5,,TRUE,TRUE,,,,,,,,,lb,,
iPhone-Gallop-Diagnostic-Service,,,,,,,,Email me a UPS Ground Label. FREE!,,Ship my device back to me UPS Next Day Air. +$23.50,,$100 - FREE!,,0,,continue,manual,23.5,,TRUE,TRUE,,,,,,,,,lb,,
