Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
google-pixel-6-diagnostic-service,Google Pixel 6 Diagnostic Service,"<div style=""position: relative; padding-bottom: 56.25%; padding-top: 30px; height: 0; overflow: hidden;""><iframe style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; display: block; margin-left: auto; margin-right: auto;"" src=""https://www.youtube.com/embed/9z61L7QyDVo"" width=""853"" height=""480"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></div><p>&nbsp;</p><h2>Google Pixel 6 Diagnostic Service</h2><p>&nbsp;</p><p>We recommend not trying Diagnostic Service yourself. Devices have become more and more sophisticated and you may cause more damage. Using the supplied shipping label, send your Google Pixel 6 to iFixYouri's mail-in center so our skilled repair technicians can inspect your device, pinpoint all/any issues affecting it, and get them repaired the professional way.</p><p>&nbsp;</p><p><strong>*NOTE: If you decline repairs for diagnostic or water damage treatment or your device is deemed non-repairable, you will be responsible for shipping and handling.</strong></p> This is the service you need if you aren't quite sure what the problem with your Google Pixel 6 is. We'll find out what is going on, and contact you with a repair quote.<p>&nbsp;</p><p>iFixYouri is here to help you with Diagnostic Service for your Google Pixel 6. This service includes a full inspection of your device and any other damaged components, repairs by our expert technicians, and secure shipping to you as soon as it is ready. We will let you know about any additional issues affecting your device and repair them only after you approve.</p><h3>Shipping Your Google Pixel 6</h3><p>To estimate your shipping costs, please use the shipping cost calculator below. Additional insurance protection and fast shipping options are available for purchase. When packaging your device, make sure you use a strong, secure box. Your cases, cables, and other accessories should not be shipped to us.</p><h3>Questions?</h3><p>If you have specific questions about Diagnostic Service or any Google Pixel 6 service from iFixYouri, please ask them in the box below. Contact customer service with any questions at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>.</p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,Google Pixel 6 Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,0.0,,TRUE,TRUE,,,,,,Google Pixel 6 Diagnostic Service,Google Pixel 6 Diagnostic Service performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
google-pixel-6-glass-repair,Google Pixel 6 Glass Repair,"<div style=""position: relative; padding-bottom: 56.25%; padding-top: 30px; height: 0; overflow: hidden;""><iframe style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; display: block; margin-left: auto; margin-right: auto;"" src=""https://www.youtube.com/embed/1vrnuazxPIo"" width=""853"" height=""480"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></div><p>&nbsp;</p><h2>Google Pixel 6 Glass Repair</h2><p>&nbsp;</p><p>The Google Pixel 6 has great build quality and design, but it isn't invincible. Since your device is of little use when broken, it's a good idea to bring it to iFixYouri for expert Glass Repair.</p><p>&nbsp;<p>Each device has its own lifespan - some devices use higher quality components than others and can last years if properly maintained. Drops, water or liquid, even a jolt can damage your device. </p> Those who have both cracked glass and a broken LCD should opt for our Google Pixel 6 Glass & LCD Repair. This service is for glass breakage only.<p>&nbsp;</p><p>Every repair service begins with a series of diagnostic tests to determine what the issue is. Our technicians use their repair experience to quickly diagnose the problem. In most cases, repairs are minimal; however, if we see that your Google Pixel 6 has additional damage, we'll contact you before proceeding.</p><h3>Shipping Your Google Pixel 6</h3><p>To estimate shipping, use the calculator below. We advise you to ship your device in a sturdy and secure box. If it sounds like it is rattling, add some additional padding. You should not include any cases, cables, or accessories. Standard shipping and $100 insurance are included; faster shipping and extra insurance can be purchased at checkout.</p><h3>90-day Warranty</h3><p>A 90-day warranty covers all but accidental damage for the Google Pixel 6. We will be glad to help if you notice something off about your replacement part, function, or performance. We just ask that you reach out to us as soon as possible.</p><h3>Customer Service</h3><p>Questions about Glass Repair? Type them into the box below, and we'll get back to you as soon as possible. Alternatively, you can reach us at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,Google Pixel 6 Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,349.99,,TRUE,TRUE,,,,,,Google Pixel 6 Glass Repair,Google Pixel 6 Glass Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
google-pixel-6-glass-&-lcd-repair,Google Pixel 6 Glass & LCD Repair,"<div style=""position: relative; padding-bottom: 56.25%; padding-top: 30px; height: 0; overflow: hidden;""><iframe style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; display: block; margin-left: auto; margin-right: auto;"" src=""https://www.youtube.com/embed/tF_zuMX4ixI"" width=""853"" height=""480"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></div><p>&nbsp;</p><h2>Google Pixel 6 Glass & LCD Repair</h2><p>&nbsp;</p><p>It is recommended that you don’t try Glass & LCD Repair for yourself. It's more complicated now to fix devices, so you may end up causing more damage. With the shipping label provided, mail your Google Pixel 6 to iFixYouri's mail-in center for our skilled repair technicians to look over the device and diagnose any problems with it, so that it can be repaired professionally.</p> Those who have only cracked glass, NOT a broken LCD, should opt for our Google Pixel 6 Glass Repair. This service is for both cracked glass and a broken LCD.<p>&nbsp;</p><p>A shipping label and email confirmation will be sent to you after checkout. We run diagnostic tests on your phone when it arrives at our repair center to determine if there are any other problems. The Google Pixel 6 is thoroughly tested before we ship it back to you. Once the repairs are complete, we provide you with a tracking number to track the shipment back to you!</p><h3>How to Ship Your Google Pixel 6</h3><p>We email you a printable shipping label, and include $100 of insurance protection. If you would like faster shipping or more insurance coverage, you have the option to upgrade during checkout. </p><h3>90-day Warranty</h3><p>Glass & LCD Repair for the Google Pixel 6 includes a 90-day warranty that covers all but accidental damage. If you notice something off about the fit, function, or performance of your replacement part or parts, let us know right away and we will be glad to help.</p><h3>Questions? Just Ask.</h3><p>Have any questions about Glass & LCD Repair from iFixYouri? Just ask them in the box below, and we'll get back to you asap. On the other hand, you can always reach us via our support phone number <a href=""tel:888-494-4349"">888-494-4349</a> or email <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p><p>NOTE: You will be receiving your replacement part or parts based on your exact model. The computer pictured above may not correspond to your exact model.</p>",iFixYouri,,Google Pixel 6 Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,429.99,,TRUE,TRUE,,,,,,Google Pixel 6 Glass & LCD Repair,Google Pixel 6 Glass & LCD Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
google-pixel-6-battery-replacement,Google Pixel 6 Battery Replacement,"<h2>Google Pixel 6 Battery Replacement</h2><p>&nbsp;</p><p>At iFixYouri, we understand. Your Google Pixel 6 is really important to you. When it breaks, it can really mess up your day. If you are in need of Battery Replacement, let the professional repair technicians at iFixYouri help you out.</p> Old or bad batteries can really be frustrating. You might need Battery Replacement if your battery does not hold charge well or charges very slowly or barely at all.<p>&nbsp;</p><p>iFixYouri is here to help you with Battery Replacement for your Google Pixel 6. This service includes a full inspection of your device and any other damaged components, repairs by our expert technicians, and secure shipping to you as soon as it is ready. We will let you know about any additional issues affecting your device and repair them only after you approve.</p><h3>Shipping Your Google Pixel 6</h3><p>To estimate shipping, use the calculator below. We advise you to ship your device in a sturdy and secure box. If it sounds like it is rattling, add some additional padding. You should not include any cases, cables, or accessories. Standard shipping and $100 insurance are included; faster shipping and extra insurance can be purchased at checkout.</p><h3>iFixYouri Warranty</h3><p>A 90-day warranty is built into Google Pixel 6 Battery Replacement, and it covers everything except accidental damage. We will be happy to assist you if you notice any problems with your device or replacement parts.</p><h3>Questions?</h3><p>In the box below, please post your questions about Battery Replacement or any Google Pixel 6 services from iFixYouri. Contact customer service at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>.</p><p>NOTE: This computer may not necessarily match the exact model you own. Your replacement part or parts will match your device.</p>",iFixYouri,,Google Pixel 6 Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,99.99,,TRUE,TRUE,,,,,,Google Pixel 6 Battery Replacement,Google Pixel 6 Battery Replacement performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
google-pixel-6-charging-port-repair,Google Pixel 6 Charging Port Repair,"<h2>Google Pixel 6 Charging Port Repair</h2><p>&nbsp;</p><p>At iFixYouri, we understand. Your Google Pixel 6 is really important to you. When it breaks, it can really mess up your day. If you are in need of Charging Port Repair, let the professional repair technicians at iFixYouri help you out.</p> Charging port repair may be what you need if your device is charging slowly or not at all. Sometimes the battery needs replacement. Whatever the case, the professional technicians at iFixYouri can help.<p>&nbsp;</p><p>A shipping label and email confirmation will be sent to you after checkout. We run diagnostic tests on your phone when it arrives at our repair center to determine if there are any other problems. The Google Pixel 6 is thoroughly tested before we ship it back to you. Once the repairs are complete, we provide you with a tracking number to track the shipment back to you!</p><h3>Shipping Your Google Pixel 6</h3><p>Use the calculator below to estimate shipping. Please ship your device in a sturdy, secure box. If you hear it rattling around in the box, add some more padding. Please do not include cases, cables, or accessories. Standard shipping is covered by us, as well as $100 insurance. Faster shipping and extra insurance coverage can be purchased during checkout.</p><h3>Google Pixel 6 Warranty</h3><p>A 90-day that covers all but accidental damage comes with every repair.</p><h3>Customer Service</h3><p>If you have a question about Charging Port Repair, please enter it below, and we'll get back to you shortly. Otherwise, you can reach us at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p><p>NOTE: The computer shown above may not match your exact model. Your replacement part will match your specific device.</p>",iFixYouri,,Google Pixel 6 Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,79.99,,TRUE,TRUE,,,,,,Google Pixel 6 Charging Port Repair,Google Pixel 6 Charging Port Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
google-pixel-6-front-camera-repair,Google Pixel 6 Front Camera Repair,"<h2>Google Pixel 6 Front Camera Repair</h2><p>&nbsp;</p><p>It is recommended that you don’t try Front Camera Repair for yourself. It's more complicated now to fix devices, so you may end up causing more damage. With the shipping label provided, mail your Google Pixel 6 to iFixYouri's mail-in center for our skilled repair technicians to look over the device and diagnose any problems with it, so that it can be repaired professionally.</p><p>&nbsp;</p><p>We begin every repair service with a series of diagnostic tests to determine what the problem is. Our technicians use their extensive repair experience to swiftly diagnose the problem. It is important to note that most repairs are minor, however, if we notice more damage to your Google Pixel 6, we will contact you prior to carrying out further repairs.</p><h3>Shipping Your Google Pixel 6</h3><p>We email a printable shipping label for your use, plus we include $100 in insurance coverage. If you would like faster shipping or more insurance coverage, you may upgrade your order during checkout.</p><h3>Warranty: Google Pixel 6</h3><p>A 90-day warranty that covers all but accidental damage is included. Contact customer service with any questions at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>.</p><h3>Questions? Just Ask.</h3><p>Is there anything you need to know about Front Camera Repair from iFixYouri? Feel free to ask us in the box below, and we'll get back to you. Alternatively, you can always reach us via our support phone number <a href=""tel:888-494-4349"">888-494-4349</a> or email <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p><p>NOTE: Your replacement part or parts will be tailored to your specific device. The computer pictured above may not match your exact model.</p>",iFixYouri,,Google Pixel 6 Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,99.99,,TRUE,TRUE,,,,,,Google Pixel 6 Front Camera Repair,Google Pixel 6 Front Camera Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
google-pixel-6-loud-speaker-repair,Google Pixel 6 Loud Speaker Repair,"<h2>Google Pixel 6 Loud Speaker Repair</h2><p>&nbsp;</p><p>It is recommended that you don’t try Loud Speaker Repair for yourself. It's more complicated now to fix devices, so you may end up causing more damage. With the shipping label provided, mail your Google Pixel 6 to iFixYouri's mail-in center for our skilled repair technicians to look over the device and diagnose any problems with it, so that it can be repaired professionally.</p><p>&nbsp;</p><p>Every repair service begins with a series of diagnostic tests to determine what the issue is. Our technicians use their repair experience to quickly diagnose the problem. In most cases, repairs are minimal; however, if we see that your Google Pixel 6 has additional damage, we'll contact you before proceeding.</p><h3>Shipping Your Google Pixel 6</h3><p>We email a printable shipping label for your use, plus we include $100 in insurance coverage. If you would like faster shipping or more insurance coverage, you may upgrade your order during checkout.</p><h3>iFixYouri Warranty</h3><p>Google Pixel 6 Loud Speaker Repair includes a 90-day warranty that covers everything except accidental damage. If you notice something off about your Chromebook, or your replacement part or parts, please let us know. We'll be glad to help.</p><h3>Questions?</h3><p>If you have specific questions about Loud Speaker Repair or any Google Pixel 6 service from iFixYouri, please ask them in the box below. Contact customer service with any questions at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>.</p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,Google Pixel 6 Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,79.99,,TRUE,TRUE,,,,,,Google Pixel 6 Loud Speaker Repair,Google Pixel 6 Loud Speaker Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
google-pixel-6-microphone-repair,Google Pixel 6 Microphone Repair,"<h2>Google Pixel 6 Microphone Repair</h2><p>&nbsp;</p><p>iFixYouri understands how important your Google Pixel 6 is to you, and how unfortunate it is to find it broken. If you need Microphone Repair from a team of reliable and professional technicians, look no further than iFixYouri.</p><p>&nbsp;</p><p>iFixYouri is here to resolve the problem for your Google Pixel 6 with Microphone Repair. In this service, we will assess the extent of the damage, repair your device, and return it to you. You will be informed if there are other problems with your device and you can choose whether to proceed with those repairs.</p><h3>Shipping Your Google Pixel 6</h3><p>To estimate your shipping costs, please use the shipping cost calculator below. Additional insurance protection and fast shipping options are available for purchase. When packaging your device, make sure you use a strong, secure box. Your cases, cables, and other accessories should not be shipped to us.</p><h3>Warranty: Google Pixel 6</h3><p>A 90-day warranty is included that covers all but accidental damage. You may contact customer service for further information at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>.</p><h3>Contact/Support</h3><p>Call iFixYouri @ <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>. If you have any questions, you can write them down in the chatbot below.</p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,Google Pixel 6 Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,89.99,,TRUE,TRUE,,,,,,Google Pixel 6 Microphone Repair,Google Pixel 6 Microphone Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
google-pixel-6-power-button-repair,Google Pixel 6 Power Button Repair,"<h2>Google Pixel 6 Power Button Repair</h2><p>&nbsp;</p><p>At iFixYouri, we understand. Your Google Pixel 6 is really important to you. When it breaks, it can really mess up your day. If you are in need of Power Button Repair, let the professional repair technicians at iFixYouri help you out.</p><p>&nbsp;</p><p>A shipping label and email confirmation will be sent to you after checkout. We run diagnostic tests on your phone when it arrives at our repair center to determine if there are any other problems. The Google Pixel 6 is thoroughly tested before we ship it back to you. Once the repairs are complete, we provide you with a tracking number to track the shipment back to you!</p><h3>Shipping Your Google Pixel 6</h3><p>You may purchase faster shipping options and additional insurance protection during checkout. That's up to you. Don't send us your cables, charges, or cases, please. We have plenty here already :) Just package your Google Pixel 6 Chromebook in a secure box and affix the provided label.</p><h3>Google Pixel 6 Warranty</h3><p>Every repair comes with a 90-day covering all but accidental damage.</p><h3>Customer Service</h3><p>Questions about Power Button Repair? Type them into the box below, and we'll get back to you as soon as possible. Alternatively, you can reach us at <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a></p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,Google Pixel 6 Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,99.99,,TRUE,TRUE,,,,,,Google Pixel 6 Power Button Repair,Google Pixel 6 Power Button Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
google-pixel-6-rear-camera-repair,Google Pixel 6 Rear Camera Repair,"<h2>Google Pixel 6 Rear Camera Repair</h2><p>&nbsp;</p><p>At iFixYouri, we understand. Your Google Pixel 6 is really important to you. When it breaks, it can really mess up your day. If you are in need of Rear Camera Repair, let the professional repair technicians at iFixYouri help you out.</p><p>&nbsp;</p><p>With Rear Camera Repair for Google Pixel 6, iFixYouri is here to help. With this service, our repair technicians inspect the problem, as well as any other affected components, repair your device, and send it back to you asap. If there are any other issues affecting your device, we'll let you know and proceed with those repairs only after your approval.</p><h3>Shipping Your Google Pixel 6</h3><p>To estimate your shipping costs, please use the shipping cost calculator below. Additional insurance protection and fast shipping options are available for purchase. When packaging your device, make sure you use a strong, secure box. Your cases, cables, and other accessories should not be shipped to us.</p><h3>90-day Warranty</h3><p>A 90-day warranty covers all but accidental damage for the Google Pixel 6. We will be glad to help if you notice something off about your replacement part, function, or performance. We just ask that you reach out to us as soon as possible.</p><h3>Contact/Support</h3><p>Call iFixYouri @ <a href=""tel:888-494-4349"">888-494-4349</a> or <a href=""mailto:support@ifixyouri.com"">support@ifixyouri.com</a>. If you have any questions, you can write them down in the chatbot below.</p><p>NOTE: Computer pictured above may not necessarily match your exact model. Your replacement part or parts will match your specific device.</p>",iFixYouri,,Google Pixel 6 Repair,TRUE,Title,Default Title,,,,,,0,,continue,manual,129.99,,TRUE,TRUE,,,,,,Google Pixel 6 Rear Camera Repair,Google Pixel 6 Rear Camera Repair performed by repair experts iFixYouri. Warranty included. Call today 888-494-4349.,,lb,,
